i,H,rr,energy,error_r,error_a
1,10.0,0.0,-0.5412178978926464,0.14624186252273003,0.09270624775809477
1,10.0,2.0,-0.6339238505027819,4.6558876376604113e-7,2.951479592949724e-7
1,10.0,2.0,-0.6339238505028094,4.655887203325622e-7,2.951479317614414e-7
1,10.0,4.0,-0.633924145650825,1.3222692168185805e-13,8.382183835919932e-14
1,10.0,4.0,-0.6339241456507753,5.376644365076876e-14,3.4083846855992306e-14
1,10.0,6.0,-0.6339241456521493,2.22123714925961e-12,1.408095862132086e-12
1,10.0,6.0,-0.6339241456521257,2.1841085301913266e-12,1.3845591340100327e-12
1,10.0,8.0,-0.6339241456526618,3.0296602889727975e-12,1.9205748102990583e-12
1,10.0,8.0,-0.6339241456531418,3.786944009969293e-12,2.400635246146976e-12
1,10.0,10.0,-0.6339241456532181,3.9072617519500034e-12,2.4769075679387242e-12
1,10.0,10.0,-0.6339241456528619,3.345428686048811e-12,2.120748021638974e-12
1,5.0,0.0,-0.9652108877644728,0.08744652800780532,0.0924924878605432
1,5.0,1.0,-1.0574892508911826,0.00020244308448660335,0.00021412473383342068
1,5.0,2.0,-1.0577029627833199,3.903189738034513e-7,4.1284169616240263e-7
1,5.0,3.0,-1.0577033748529387,7.2995634577882e-10,7.720772909891593e-10
1,5.0,4.0,-1.0577033756243943,5.878064759155176e-13,6.217248937900877e-13
1,5.0,5.0,-1.0577033756261593,1.0809341230317858e-12,1.1433076707589862e-12
1,5.0,6.0,-1.0577033756263832,1.2925444543613722e-12,1.3671286325234178e-12
1,5.0,7.0,-1.0577033756265117,1.414094436345331e-12,1.4956924587750109e-12
1,5.0,8.0,-1.0577033756265892,1.4873603149505151e-12,1.5731860258938468e-12
1,5.0,9.0,-1.0577033756267777,1.6655916356834703e-12,1.7617018954751984e-12
1,5.0,10.0,-1.0577033756270162,1.891057405373922e-12,2.000177801164682e-12
1,1.0,0.0,2.671225793355555,2.5092512213908917,4.441127156028507
1,1.0,1.0,-1.7683188290497585,0.0008941366205872495,0.0015825336231931608
1,1.0,2.0,-1.7698984777907283,1.6299677960436706e-6,2.8848822233307203e-6
1,1.0,3.0,-1.769901357295029,3.0385436528555624e-9,5.3779225517303075e-9
1,1.0,4.0,-1.7699013626636346,5.2641304307396814e-12,9.316991622654314e-12
1,1.0,5.0,-1.7699013626738362,4.998163878948258e-13,8.846257060213247e-13
1,1.0,6.0,-1.7699013626740456,6.181213210737467e-13,1.0940137684656293e-12
1,1.0,7.0,-1.7699013626741968,7.035568030407086e-13,1.2452261444195756e-12
1,1.0,8.0,-1.7699013626743072,7.659083956069055e-13,1.3555823130673161e-12
1,1.0,9.0,-1.7699013626744493,8.462001848269578e-13,1.4976908602193362e-12
1,1.0,10.0,-1.7699013626747842,1.0353877131767062e-12,1.8325341244462834e-12
1,0.5,0.0,9.6851232607452,6.205758978681301,11.545586509314305
1,0.5,1.0,-1.858287888495463,0.0011692572133930278,0.002175360073642052
1,0.5,2.0,-1.8604593158575897,2.113834561556428e-6,3.932711515330922e-6
1,0.5,3.0,-1.860463241241849,3.93840412639459e-9,7.327256135170046e-9
1,0.5,4.0,-1.860463248556105,6.987531462685023e-12,1.3000045484545808e-11
1,0.5,5.0,-1.860463248570186,5.80991394270427e-13,1.0809131367750524e-12
1,0.5,6.0,-1.8604632485704171,7.052338021248877e-13,1.31206157050201e-12
1,0.5,7.0,-1.8604632485703028,6.437690182199432e-13,1.1977085989656189e-12
1,0.5,8.0,-1.8604632485707375,8.774545461536934e-13,1.6324719354088302e-12
1,0.5,9.0,-1.860463248570541,7.718305971131577e-13,1.4359624600501775e-12
1,0.5,10.0,-1.8604632485706918,8.528686325917156e-13,1.5867307467942737e-12
1,0.1,0.0,66.2388205188074,35.32565786779966,68.16853795565643
1,0.1,1.0000000000000002,-1.926907630192427,0.0014560715485886742,0.0028098066566113467
1,0.1,2.0,-1.9297123855692413,2.617626653856695e-6,5.051279797108066e-6
1,0.1,3.0,-1.929717427440995,4.875347693782832e-9,9.408043455394477e-9
1,0.1,4.0,-1.9297174368321177,8.768479130984186e-12,1.6920687073707086e-11
1,0.1,5.0,-1.9297174368498076,3.98588154292809e-13,7.691625114603085e-13
1,0.1,6.0,-1.929717436850093,5.46447790050967e-13,1.0544898287889737e-12
1,0.1,7.000000000000002,-1.92971743685026,6.330923859466037e-13,1.2216894162975223e-12
1,0.1,8.000000000000002,-1.9297174368504413,7.269861312996442e-13,1.4028778139163478e-12
1,0.1,9.000000000000002,-1.9297174368505838,8.008584162465216e-13,1.545430450278218e-12
1,0.1,10.000000000000002,-1.9297174368507657,8.950973591927718e-13,1.7272849817118185e-12
2,10.0,0.0,-0.1926437605941068,0.5822572844666687,0.07089127287587757
2,10.0,2.0,-0.12175271057497077,1.8304081150491846e-6,2.2285674154687296e-7
2,10.0,2.0,-0.12175271057501251,1.830408457911877e-6,2.2285678329125869e-7
2,10.0,4.0,-0.1217524877199956,1.4507947583414867e-11,1.7663787099664319e-12
2,10.0,4.0,-0.12175248771998139,1.4391228369035526e-11,1.7521678552512299e-12
2,10.0,6.0,-0.12175248771960942,1.133612572937785e-11,1.380201508638379e-12
2,10.0,6.0,-0.12175248771960853,1.1328830778479142e-11,1.3793133302186789e-12
2,10.0,8.0,-0.12175248772005517,1.4997279211667318e-11,1.8259560530253793e-12
2,10.0,8.0,-0.12175248772002853,1.4778430684706053e-11,1.7993107004343756e-12
2,10.0,10.0,-0.12175248772035405,1.745203018908282e-11,2.1248280912544715e-12
2,10.0,10.0,-0.12175248772039313,1.7773008028626005e-11,2.163907941721277e-12
2,5.0,0.0,-0.3885277723089032,0.09106268408924073,0.03242745105813577
2,5.0,1.0,-0.3560701281220624,8.478826584304219e-5,3.0193128705002792e-5
2,5.0,2.0,-0.35610026232864544,1.654649503049875e-7,5.892212195934832e-8
