H,rr,error_r
10.0,0.0,1.5038674920039767
10.0,2.0,4.001907969269974e-6
10.0,2.0,4.001907969269974e-6
10.0,4.0,1.3955614674016554e-11
10.0,4.0,1.3955614674016554e-11
10.0,6.0,2.678703225283658e-14
10.0,6.0,2.677611295208181e-14
10.0,8.0,4.7405057608316497e-14
10.0,8.0,4.7405057608316497e-14
10.0,10.0,4.8685445323841896e-14
10.0,10.0,4.8685445323841896e-14
5.0,0.0,2.9202501866910224
5.0,1.0,0.003396502814264205
5.0,2.0,6.3658487982475796e-6
5.0,3.0,1.189190164340914e-8
5.0,4.0,2.2199371518714325e-11
5.0,5.0,3.413506871280983e-14
5.0,6.0,5.794482275246369e-14
5.0,7.0,3.434883259654183e-14
5.0,8.0,3.5864834861617804e-14
5.0,9.0,5.396515484993836e-14
5.0,10.0,5.460304585229021e-14
1.0,0.0,3.760858854411453
1.0,1.0,0.005114884906365381
1.0,2.0,9.720488707026843e-6
1.0,3.0,1.8177763709600435e-8
1.0,4.0,3.39740578417836e-11
1.0,5.0,9.227396601011697e-14
1.0,6.0,3.003816956382407e-14
1.0,7.0,3.253208961092153e-14
1.0,8.0,6.360646036141304e-14
1.0,9.0,4.5600232595075967e-14
1.0,10.0,4.557100418275225e-14
0.5,0.0,11.93280928494154
0.5,1.0,0.004559915957640788
0.5,2.0,8.432592018658153e-6
0.5,3.0,1.574039953908508e-8
0.5,4.0,2.942610119473765e-11
0.5,5.0,6.357107524549278e-14
0.5,6.0,4.407451662451455e-14
0.5,7.0,7.73916234720598e-14
0.5,8.0,7.256384162387426e-14
0.5,9.0,3.340846363864377e-14
0.5,10.0,9.303519123413094e-14
0.1,0.0,84.29401391452507
0.1,1.0000000000000002,0.02210639458503869
0.1,2.0,4.098822286102855e-5
0.1,3.0,7.650354651246154e-8
0.1,4.0,1.428391858239635e-10
0.1,5.0,2.457273471406156e-13
0.1,6.0,4.730253148887181e-14
0.1,7.000000000000002,3.4580041769978486e-14
0.1,8.000000000000002,7.620408857897337e-14
0.1,9.000000000000002,5.581643522839584e-14
0.1,10.000000000000002,3.022191742048675e-14
