i,H,rr,energy,error_r,error_a
1,5.0,0.0,-1.6042421332744483,0.10075679723514457,0.1797492589784706
1,5.0,1.0,-1.7837429197541539,0.00013927897849957933,0.00024847249876502886
1,5.0,2.0,-1.7839909392262732,2.53939928028702e-7,4.5302664575253004e-7
1,5.0,3.0,-1.7839913914087975,4.731645248287458e-10,8.441214394139251e-10
1,5.0,4.0,-1.7839913922518016,6.263082080075151e-13,1.1173284519827575e-12
1,5.0,5.0,-1.783991392253824,5.07319605691302e-13,9.050538096744276e-13
1,5.0,6.0,-1.783991392253641,4.047603919794195e-13,7.220890552162018e-13
1,5.0,7.0,-1.783991392253912,5.56607771504294e-13,9.9298347322474e-13
1,5.0,8.0,-1.7839913922542763,7.608549434717686e-13,1.3573586699067164e-12
1,5.0,9.0,-1.783991392254445,8.554483930118543e-13,1.5261125696497402e-12
1,5.0,10.0,-1.7839913922544917,8.815860567005622e-13,1.5727419366839968e-12
2,5.0,0.0,-1.667062794071101,0.06754502899849386,0.1207584368893464
2,5.0,1.0,-1.787752354108604,3.852558110986959e-5,6.88768518433136e-5
2,5.0,2.0,-1.7878211109647881,6.71183768873759e-8,1.1999565918685562e-7
2,5.0,3.0,-1.7878212307378991,1.2448012040300287e-10,2.2254820208900128e-10
2,5.0,4.0,-1.7878212309605581,6.197502073407355e-14,1.1080025785759062e-13
2,5.0,5.0,-1.7878212309609927,3.0503136457491915e-13,5.453415496958769e-13
2,5.0,6.0,-1.7878212309610921,3.60672264953406e-13,6.448175327022909e-13
2,5.0,7.0,-1.7878212309612056,4.241376669476176e-13,7.582823258189819e-13
2,5.0,8.0,-1.7878212309613242,4.904596330237604e-13,8.768541448489486e-13
2,5.0,9.0,-1.7878212309620911,9.194410390668267e-13,1.6437962102600068e-12
2,5.0,10.0,-1.7878212309615644,6.248423433128739e-13,1.1171064073778325e-12
3,5.0,0.0,-1.1679351202150299,0.050538270952646146,0.06216724671963547
3,5.0,1.0,-1.2300810195363137,1.735416411309425e-5,2.134739835168986e-5
3,5.0,2.0,-1.230102343357795,1.916659222004971e-8,2.357687045595469e-8
3,5.0,3.0,-1.2301023668934954,3.3468723774231626e-11,4.116995633296483e-11
3,5.0,4.0,-1.2301023669354334,6.243807906407167e-13,7.680522884356833e-13
3,5.0,5.0,-1.2301023669356324,7.861168959931544e-13,9.670042544485113e-13
3,5.0,6.0,-1.2301023669358548,9.66986960237733e-13,1.1894929485833927e-12
3,5.0,7.0,-1.2301023669359439,1.0393710877447952e-12,1.2785328351583303e-12
3,5.0,8.0,-1.2301023669361733,1.2258369324200944e-12,1.5079049120458876e-12
3,5.0,9.0,-1.2301023669363131,1.3395576314960273e-12,1.6477930131486573e-12
3,5.0,10.0,-1.2301023669365103,1.4998496644792468e-12,1.844968622322085e-12
4,5.0,0.0,-2.2374248949014945,0.023954910531403622,0.05491274302428106
4,5.0,1.0,-2.292252843628993,3.699031738600706e-5,8.479429678276418e-5
4,5.0,2.0,-2.2923374853636,6.655309988255406e-8,1.5256217578141218e-7
4,5.0,3.0,-2.2923376376420177,1.2378538892630747e-10,2.837579060610551e-10
4,5.0,4.0,-2.2923376379257,3.293370244656565e-14,7.549516567451064e-14
4,5.0,5.0,-2.292337637926303,2.301484618030588e-13,5.275779813018744e-13
4,5.0,6.0,-2.2923376379264297,2.8536084531641885e-13,6.541434061091422e-13
4,5.0,7.0,-2.2923376379264355,2.878793049152739e-13,6.59916565837193e-13
4,5.0,8.0,-2.292337637926629,3.7234456530764226e-13,8.535394613318203e-13
4,5.0,9.0,-2.292337637926674,3.9191105911413125e-13,8.983924715266767e-13
4,5.0,10.0,-2.2923376379267757,4.362746935862697e-13,1.000088900582341e-12
5,5.0,0.0,-1.7151114886921957,0.07622208816537478,0.14151602612462866
5,5.0,1.0,-1.8563715843887223,0.00013784694348196376,0.0002559304281020136
5,5.0,2.0,-1.8566270392414228,2.5615014196906536e-7,4.7557540150400257e-7
5,5.0,3.0,-1.8566275139294135,4.779692234543081e-10,8.874108115008994e-10
5,5.0,4.0,-1.8566275148156428,6.363685410116626e-13,1.1814993428060916e-12
5,5.0,5.0,-1.8566275148174212,3.21473151332334e-13,5.968558980384842e-13
5,5.0,6.0,-1.8566275148174871,3.569930642585629e-13,6.628031457012185e-13
5,5.0,7.0,-1.8566275148176623,4.5135404506258503e-13,8.379963389870682e-13
5,5.0,8.0,-1.8566275148177818,5.156965135956191e-13,9.57456336436735e-13
5,5.0,9.0,-1.8566275148179106,5.85062000118221e-13,1.0862422072932532e-12
5,5.0,10.0,-1.8566275148178812,5.692753721510081e-13,1.056932319443149e-12
6,5.0,0.0,-1.653434201941532,0.0012302169761005829,0.0020365882695563275
6,5.0,1.0,-1.6554112791928721,3.594809317573654e-5,5.95110182162184e-5
6,5.0,2.0,-1.6554706744436694,6.993020938151717e-8,1.1576741898444709e-7
6,5.0,3.0,-1.6554707899948033,1.3064862949971019e-10,2.1628498991788092e-10
6,5.0,4.0,-1.6554707902112171,7.77941064366933e-14,1.2878587085651816e-13
6,5.0,5.0,-1.6554707902119477,5.1907446881035e-13,8.593126210598712e-13
6,5.0,6.0,-1.6554707902120875,6.035749637329652e-13,9.992007221626409e-13
6,5.0,7.0,-1.6554707902123231,7.458845274042265e-13,1.2347900479880991e-12
6,5.0,8.0,-1.655470790212492,8.479557601599569e-13,1.403765992336048e-12
6,5.0,9.0,-1.6554707902126982,9.72426330458666e-13,1.609823385706477e-12
6,5.0,10.0,-1.6554707902128512,1.064840363794669e-12,1.7628121184998236e-12
7,5.0,0.0,-1.8296716248713738,0.03207671696848576,0.056865790974006236
7,5.0,1.0,-1.7728205755304212,8.315424493604053e-6,1.4741633053594327e-5
7,5.0,2.0,-1.7728058460114708,6.833293891768183e-9,1.2114103276061883e-8
7,5.0,3.0,-1.7728058339182042,1.1753495689010254e-11,2.0836665726164938e-11
7,5.0,4.0,-1.772805833897892,2.958413983103391e-13,5.24469356832924e-13
7,5.0,5.0,-1.7728058338980441,3.8163790882794375e-13,6.765699112065704e-13
7,5.0,6.0,-1.7728058338980681,3.9516494990225227e-13,7.005507285384738e-13
7,5.0,7.0,-1.772805833898126,4.278552991651644e-13,7.585043704239069e-13
7,5.0,8.0,-1.7728058338983281,5.41833145254245e-13,9.605649609056854e-13
7,5.0,9.0,-1.772805833898964,9.00550234484055e-13,1.5965007094109751e-12
7,5.0,10.0,-1.772805833898449,6.099693521470582e-13,1.0813572259849025e-12
8,5.0,0.0,-1.9343507296607454,0.04297765140382667,0.0797081809377227
8,5.0,1.0,-1.8547815942534986,7.497160602277905e-5,0.00013904553047594526
8,5.0,2.0,-1.8546428079543176,1.397742627295401e-7,2.592312948745956e-7
8,5.0,3.0,-1.8546425492074954,2.612215947088872e-10,4.84472684192383e-10
8,5.0,4.0,-1.8546425487244123,7.492307013972027e-13,1.389555137620846e-12
8,5.0,5.0,-1.8546425487236573,3.421702372312568e-13,6.346034808757395e-13
8,5.0,6.0,-1.8546425487236953,3.626429841054853e-13,6.725731083179198e-13
8,5.0,7.0,-1.8546425487236975,3.6384022076479686e-13,6.747935543671701e-13
8,5.0,8.0,-1.8546425487240332,5.448624036527116e-13,1.0105249970138175e-12
8,5.0,9.0,-1.8546425487241749,6.21246102516792e-13,1.1521894549559875e-12
8,5.0,10.0,-1.854642548724134,5.992169479854585e-13,1.1113332476497817e-12
9,5.0,0.0,-1.4016550746151237,0.03146030453800175,0.042751519676153205
9,5.0,1.0,-1.3590193803963426,8.52344943473934e-5,0.00011582545737209848
9,5.0,2.0,-1.3589037729925637,1.6046289112218472e-7,2.180535931817218e-7
9,5.0,3.0,-1.3589035553469955,3.002604163332759e-10,4.0802494716274396e-10
9,5.0,4.0,-1.358903554940527,1.1454327828249552e-12,1.5565326805244695e-12
9,5.0,5.0,-1.358903554939921,6.995146566724156e-13,9.50572953684059e-13
9,5.0,6.0,-1.358903554940192,8.98862444838813e-13,1.2214673716925972e-12
9,5.0,7.0,-1.3589035549403208,9.936343441310346e-13,1.3502532425491154e-12
9,5.0,8.0,-1.358903554940452,1.0902036415132812e-12,1.4814816040598089e-12
9,5.0,9.0,-1.3589035549407198,1.287263832110556e-12,1.7492673975993966e-12
9,5.0,10.0,-1.3589035549408954,1.4165130947659825e-12,1.9249046800950964e-12
10,5.0,0.0,-1.7313974828573786,0.02353838736576066,0.03981707490276709
10,5.0,1.0,-1.6916691898448692,5.248458177940829e-5,8.878189025773864e-5
10,5.0,2.0,-1.6915805776324833,1.0030730490559727e-7,1.6967787175303783e-7
10,5.0,3.0,-1.6915804082725923,1.8797850302854924e-10,3.179807528397305e-10
10,5.0,4.0,-1.691580407955892,7.570028776527511e-13,1.2805312366026556e-12
10,5.0,5.0,-1.6915804079555117,5.321466388077428e-13,9.001688283660769e-13
10,5.0,6.0,-1.6915804079557466,6.710245726653136e-13,1.13509202037676e-12
10,5.0,7.0,-1.6915804079557377,6.657739891546304e-13,1.1262102361797588e-12
10,5.0,8.0,-1.6915804079560897,8.738283607654524e-13,1.4781509349859334e-12
10,5.0,9.0,-1.691580407956187,9.313222502074335e-13,1.5754064719430971e-12
10,5.0,10.0,-1.6915804079563697,1.0393530059397404e-12,1.7581491817963979e-12
