i,H,rr,energy,error_r,error_a
1,10.0,0.0,-0.003517477740338351,0.2560123199303738,0.0012103932104402526
1,10.0,2.0,-0.004727865906710117,1.0668794768703757e-6,5.044068486677322e-9
1,10.0,2.0,-0.004727865906710103,1.06687947980569e-6,5.04406850055511e-9
1,10.0,4.0,-0.004727870950789703,2.347701169637397e-12,1.10996281610376e-14
1,10.0,4.0,-0.004727870950789995,2.409342772591071e-12,1.1391061705001704e-14
1,10.0,6.0,-0.0047278709508181615,8.366930315202998e-12,3.955776678443712e-14
1,10.0,6.0,-0.0047278709508187305,8.48727820668398e-12,4.0126756084557513e-14
1,10.0,8.0,-0.004727870950828664,1.0588412964506682e-11,5.00606500697387e-14
1,10.0,8.0,-0.00472787095082872,1.0600154222212143e-11,5.011616122096996e-14
1,10.0,10.0,-0.004727870950837076,1.2367580421187426e-11,5.847232420475024e-14
1,10.0,10.0,-0.004727870950837007,1.2352903849055598e-11,5.840293526571116e-14
1,5.0,0.0,-0.006262117584678997,0.5652083069477882,0.008140451932505899
1,5.0,1.0,-0.01438548108608347,0.0011864848894522567,1.7088431101425564e-5
1,5.0,2.0,-0.014402537209969082,2.2431563878589836e-6,3.230721581405638e-8
1,5.0,3.0,-0.01440256945681678,4.191482407596874e-9,6.036811675547149e-11
1,5.0,4.0,-0.014402569517094942,6.245697043117597e-12,8.995408584677733e-14
1,5.0,5.0,-0.014402569517217401,2.256906203720712e-12,3.250524849285341e-14
1,5.0,6.0,-0.014402569517222845,2.6348639189131335e-12,3.794881076046863e-14
1,5.0,7.0,-0.014402569517225662,2.8304672743855658e-12,4.0766001685454967e-14
1,5.0,8.0,-0.014402569517232917,3.334170003810265e-12,4.8020615261989974e-14
1,5.0,9.0,-0.014402569517238641,3.731639876383558e-12,5.374520273271344e-14
1,5.0,10.0,-0.01440256951724382,4.09116944293849e-12,5.892335230850421e-14
1,1.0,0.0,0.18070974006990026,10.89838222211609,0.198966232496121
1,1.0,1.0,-0.018130898152856387,0.006879430639368281,0.00012559427336433782
1,1.0,2.0,-0.01825625838298203,1.281972644205552e-5,2.3404323869560817e-7
1,1.0,3.0,-0.0182564919892049,2.3937556713106774e-8,4.370158228350629e-10
1,1.0,4.0,-0.018256492425428286,4.340587515720335e-11,7.924390310609652e-13
1,1.0,5.0,-0.01825649242624869,1.5317149526808039e-12,2.796374243274613e-14
1,1.0,6.0,-0.01825649242625079,1.6468786327458866e-12,3.006622728563002e-14
1,1.0,7.0,-0.018256492426255547,1.9074222059624354e-12,3.4822839056758426e-14
1,1.0,8.0,-0.018256492426260266,2.165875349342819e-12,3.954128691141534e-14
1,1.0,9.0,-0.018256492426263104,2.3213273135230793e-12,4.23792945181134e-14
1,1.0,10.0,-0.018256492426266622,2.514026936602277e-12,4.589731372739436e-14
1,0.5,0.0,0.46939140728328504,26.5307026253506,0.48777677701522515
1,0.5,1.0,-0.018216137661615873,0.009204714008565469,0.00016923207032424475
1,0.5,2.0,-0.01838505502923914,1.7117017800942326e-5,3.1470270097852526e-7
1,0.5,3.0,-0.018385369144379295,3.195806401932081e-8,5.875608229122253e-10
1,0.5,4.0,-0.018385369730862383,5.861917051876088e-11,1.0777351233670629e-12
1,0.5,5.0,-0.018385369731964564,1.3296291333753628e-12,2.4445723223465166e-14
