i,H,M,γu,γd,energy,error_r,error_a
1,10.0,1,0.6,0.6,0.3843856540646904,0.00014830581468115202,5.701508324618132e-5
1,10.0,3,0.6,0.6,0.38444266907696534,1.8460809527481917e-10,7.097122889376806e-11
1,10.0,5,0.6,0.6,0.3844426691485965,1.7165539072439745e-12,6.59916565837193e-13
1,10.0,7,0.6,0.6,0.38444266914853786,1.5640740177714275e-12,6.012967901369848e-13
1,10.0,9,0.6,0.6,0.38444266914852543,1.5317297987924024e-12,5.88862292261183e-13
1,10.0,11,0.6,0.6,0.3844426691485294,1.5421261548928034e-12,5.928590951498336e-13
1,10.0,13,0.6,0.6,0.38444266914850944,1.4901443743907987e-12,5.728750807065808e-13
1,10.0,15,0.6,0.6,0.384442669148497,1.4578001554117736e-12,5.60440582830779e-13
1,10.0,17,0.6,0.6,0.38444266914851166,1.4959201277799103e-12,5.750955267558311e-13
1,10.0,19,0.6,0.6,0.3844426691484908,1.4416280459222612e-12,5.542233338928781e-13
1,10.0,21,0.6,0.6,0.38444266914847924,1.4115941282988807e-12,5.426770144367765e-13
1,10.0,23,0.6,0.6,0.3844426691484486,1.3318887315291403e-12,5.120348589571222e-13
1,10.0,25,0.6,0.6,0.3844426691482523,8.213121319316728e-13,3.157474282033945e-13
1,10.0,27,0.6,0.6,0.38444266914826386,8.513460495550532e-13,3.2729374765949615e-13
1,10.0,29,0.6,0.6,0.3844426691482812,8.963969259901239e-13,3.446132268436486e-13
1,10.0,1,0.95,0.95,0.9783997038986905,0.00014625519633496307,0.00014311697238866827
1,10.0,3,0.95,0.95,0.9785428204235624,4.573296955705168e-10,4.475166903716854e-10
1,10.0,5,0.95,0.95,0.9785428208742508,3.241232850623519e-12,3.1716851367491472e-12
1,10.0,7,0.95,0.95,0.9785428208740838,3.070593876689825e-12,3.0047075938455237e-12
1,10.0,9,0.95,0.95,0.9785428208736353,2.612228547772189e-12,2.5561774918969604e-12
1,10.0,11,0.95,0.95,0.9785428208743907,3.3841883739988213e-12,3.311573237851917e-12
1,10.0,13,0.95,0.95,0.978542820874686,3.685983367791126e-12,3.6068925624022086e-12
1,10.0,15,0.95,0.95,0.978542820873658,2.635373727747238e-12,2.5788260415993136e-12
1,10.0,17,0.95,0.95,0.978542820872399,1.3487740173695182e-12,1.319833131674386e-12
1,10.0,19,0.95,0.95,0.9785428208718305,7.678753827016233e-13,7.513989430663059e-13
1,10.0,21,0.95,0.95,0.9785428208704778,6.144818369846324e-13,6.012967901369848e-13
1,10.0,23,0.95,0.95,0.9785428208706071,4.824181630093532e-13,4.720668300706166e-13
1,10.0,25,0.95,0.95,0.9785428208686242,2.5087559784719703e-12,2.454925152051146e-12
1,10.0,27,0.95,0.95,0.9785428208680376,3.108261522531571e-12,3.041566998263079e-12
