H,M,γu,γd,error_r
10.0,1,0.3,0.3,8.347741581642642e-5
10.0,3,0.3,0.3,2.6061108979076588e-11
10.0,5,0.3,0.3,4.776393349338964e-16
10.0,7,0.3,0.3,7.623508471038004e-16
10.0,9,0.3,0.3,2.642093812210047e-16
10.0,11,0.3,0.3,3.0494033884152017e-15
10.0,13,0.3,0.3,1.5247016942076009e-15
10.0,15,0.3,0.3,7.623508471038004e-16
10.0,17,0.3,0.3,1.5247016942076009e-15
10.0,19,0.3,0.3,2.2870525413114015e-15
10.0,21,0.3,0.3,1.5247016942076009e-15
10.0,23,0.3,0.3,7.623508471038004e-16
10.0,25,0.3,0.3,1.5247016942076009e-15
10.0,27,0.3,0.3,3.536822141845368e-16
10.0,29,0.3,0.3,2.2870525413114015e-15
10.0,1,0.6,0.6,0.0003361618846267042
10.0,3,0.6,0.6,4.4762937385536204e-10
10.0,5,0.6,0.6,5.370998775882736e-16
10.0,7,0.6,0.6,1.2220864178208078e-15
10.0,9,0.6,0.6,1.2602743316571113e-15
10.0,11,0.6,0.6,1.1430185919698695e-15
10.0,13,0.6,0.6,2.2638737465705735e-15
10.0,15,0.6,0.6,1.5092491643803823e-15
10.0,17,0.6,0.6,1.5092491643803823e-15
10.0,19,0.6,0.6,1.2162724792579086e-15
10.0,21,0.6,0.6,1.3348943948504208e-15
10.0,23,0.6,0.6,1.2032850883158723e-15
10.0,25,0.6,0.6,1.5123291979885335e-15
10.0,27,0.6,0.6,1.5092491643803823e-15
10.0,29,0.6,0.6,7.728417816240796e-16
10.0,1,1.0,1.0,0.0010773047939861863
10.0,3,1.0,1.0,3.984765593787379e-9
10.0,5,1.0,1.0,1.3661868258633944e-14
10.0,7,1.0,1.0,3.031147711339008e-16
10.0,9,1.0,1.0,6.072246935935518e-16
10.0,11,1.0,1.0,1.3301572081559962e-15
10.0,13,1.0,1.0,1.2456793240720107e-15
10.0,15,1.0,1.0,1.8586813876236187e-15
10.0,17,1.0,1.0,2.3942829746807935e-15
10.0,19,1.0,1.0,3.099172536953244e-15
10.0,21,1.0,1.0,3.940492024740711e-15
10.0,23,1.0,1.0,4.338841551734542e-15
10.0,25,1.0,1.0,2.415557917829993e-15
10.0,27,1.0,1.0,2.169420775867271e-15
10.0,29,1.0,1.0,5.456065880410215e-15
5.0,1,0.3,0.3,0.005834755268555208
5.0,3,0.3,0.3,9.77053759066993e-7
5.0,5,0.3,0.3,1.6440883694006634e-10
5.0,7,0.3,0.3,2.7494405008979383e-14
5.0,9,0.3,0.3,5.410115597745946e-16
5.0,11,0.3,0.3,5.410115597745946e-16
5.0,13,0.3,0.3,1.2271555536109485e-15
5.0,15,0.3,0.3,5.410115597745946e-16
5.0,17,0.3,0.3,6.492138717295136e-16
5.0,19,0.3,0.3,5.876652339692892e-16
5.0,21,0.3,0.3,7.809171704796945e-16
5.0,23,0.3,0.3,6.69357574696881e-16
5.0,25,0.3,0.3,1.0507232226921459e-15
5.0,27,0.3,0.3,1.561834340959389e-15
5.0,29,0.3,0.3,9.6708595074826e-16
5.0,1,0.6,0.6,0.012165565709253768
5.0,3,0.6,0.6,8.147268493512827e-6
5.0,5,0.6,0.6,5.4836426495041225e-9
5.0,7,0.6,0.6,3.686520188928765e-12
5.0,9,0.6,0.6,2.1020366639977127e-15
5.0,11,0.6,0.6,4.63556130676416e-16
5.0,13,0.6,0.6,8.492264748169721e-16
5.0,15,0.6,0.6,1.2830819021585798e-15
5.0,17,0.6,0.6,8.161165436718148e-16
5.0,19,0.6,0.6,7.184534840634128e-16
5.0,21,0.6,0.6,5.498922437822485e-16
5.0,23,0.6,0.6,7.331896583763313e-16
5.0,25,0.6,0.6,1.0790759488704471e-15
5.0,27,0.6,0.6,7.093803468622459e-16
5.0,29,0.6,0.6,7.254369277082799e-16
5.0,1,1.0,1.0,0.019593286124283224
5.0,3,1.0,1.0,3.6440847871573024e-5
5.0,5,1.0,1.0,6.812886928824017e-8
5.0,7,1.0,1.0,1.2723791398163963e-10
5.0,9,1.0,1.0,2.374200460986915e-13
5.0,11,1.0,1.0,1.4210314710476839e-15
5.0,13,1.0,1.0,1.1412811879005436e-15
