i,H,M,γu,γd,energy,error_r,error_a
1,5.0,1,0.3,0.3,-1.6700266989241008,0.0003367083006701634,0.0005621225805296781
1,5.0,3,0.3,0.3,-1.6694646633063694,5.209023271775601e-8,8.696279829578657e-8
1,5.0,5,0.3,0.3,-1.6694645763580875,8.695235764374443e-12,1.4516388091578847e-11
1,5.0,7,0.3,0.3,-1.669464576343568,1.8620487747987365e-15,3.1086244689504383e-15
1,5.0,9,0.3,0.3,-1.6694645763435654,3.458090581769082e-15,5.773159728050814e-15
1,5.0,11,0.3,0.3,-1.6694645763435703,5.320139356567818e-16,8.881784197001252e-16
1,5.0,13,0.3,0.3,-1.6694645763435698,7.980209034851728e-16,1.3322676295501878e-15
1,5.0,15,0.3,0.3,-1.6694645763435707,2.660069678283909e-16,4.440892098500626e-16
1,5.0,1,0.6,0.6,-1.5560620055952814,0.0014727599200791703,0.0022883355860638943
1,5.0,3,0.6,0.6,-1.5537750876242833,9.123690876878052e-7,1.4176150657796427e-6
1,5.0,5,0.6,0.6,-1.5537736709561227,6.094228774608402e-10,9.469052208999074e-10
1,5.0,7,0.6,0.6,-1.5537736700098037,3.77273581292316e-13,5.861977570020827e-13
1,5.0,9,0.6,0.6,-1.5537736700091944,1.4862292596363963e-14,2.3092638912203256e-14
1,5.0,11,0.6,0.6,-1.553773670009181,2.3436692171189324e-14,3.6415315207705135e-14
1,5.0,13,0.6,0.6,-1.5537736700091815,2.315087885202848e-14,3.597122599785507e-14
1,5.0,15,0.6,0.6,-1.5537736700091949,1.4576479277203118e-14,2.2648549702353193e-14
1,5.0,1,1.0,1.0,-1.4041090811568586,0.004656102704925312,0.00650737707478477
1,5.0,3,1.0,1.0,-1.3976129182741905,8.023882686990846e-6,1.1214192116693056e-5
1,5.0,5,1.0,1.0,-1.3976017248913957,1.4889307705097658e-8,2.080932182124684e-8
1,5.0,7,1.0,1.0,-1.3976017041193671,2.668376796239844e-11,3.729327957557871e-11
1,5.0,9,1.0,1.0,-1.3976017040806905,9.897940769838306e-13,1.383337888682945e-12
1,5.0,11,1.0,1.0,-1.3976017040805528,1.0882968583209051e-12,1.5210055437364645e-12
1,5.0,13,1.0,1.0,-1.3976017040804467,1.1642393252227145e-12,1.6271428648906294e-12
1,5.0,15,1.0,1.0,-1.3976017040800124,1.4749997127958079e-12,2.0614621121239907e-12
2,5.0,1,0.3,0.3,-1.6768627214105112,0.00010819435556490429,0.00018140745425121452
2,5.0,3,0.3,0.3,-1.6766813377728789,1.4204618791318092e-8,2.3816618899275e-8
2,5.0,5,0.3,0.3,-1.6766813139601902,2.344028930518386e-12,3.930189507173054e-12
2,5.0,7,0.3,0.3,-1.6766813139562613,7.945860781418258e-16,1.3322676295501878e-15
2,5.0,9,0.3,0.3,-1.6766813139562586,7.945860781418258e-16,1.3322676295501878e-15
2,5.0,11,0.3,0.3,-1.6766813139562617,1.059448104189101e-15,1.7763568394002505e-15
2,5.0,13,0.3,0.3,-1.6766813139562617,1.059448104189101e-15,1.7763568394002505e-15
2,5.0,15,0.3,0.3,-1.676681313956263,1.854034182330927e-15,3.1086244689504383e-15
2,5.0,1,0.6,0.6,-1.5659042118605724,0.00047918182977767297,0.0007499934622563487
2,5.0,3,0.6,0.6,-1.5651546153496159,2.536180110331376e-7,3.9695129983030597e-7
2,5.0,5,0.6,0.6,-1.5651542186604774,1.6749876824605617e-10,2.621614036968367e-10
2,5.0,7,0.6,0.6,-1.5651542183985008,1.1803380722870805e-13,1.8474111129762605e-13
2,5.0,9,0.6,0.6,-1.5651542183983378,1.3903020562996862e-14,2.1760371282653068e-14
2,5.0,11,0.6,0.6,-1.5651542183983365,1.3051815222405216e-14,2.042810365310288e-14
2,5.0,13,0.6,0.6,-1.5651542183983116,2.837351135305482e-15,4.440892098500626e-15
2,5.0,15,0.6,0.6,-1.5651542183983125,2.2698809082443857e-15,3.552713678800501e-15
2,5.0,1,1.0,1.0,-1.417959532460654,0.0015359387820975217,0.002174559047775748
2,5.0,3,1.0,1.0,-1.4157882015582732,2.28010994297663e-6,3.2281453949956074e-6
2,5.0,5,1.0,1.0,-1.4157849793046937,4.161518585508565e-9,5.891815479941442e-9
2,5.0,7,1.0,1.0,-1.4157849733889387,1.6909006300355728e-11,2.3939517035387325e-11
2,5.0,9,1.0,1.0,-1.415784973377809,2.4770202729381927e-11,3.5069280812649595e-11
2,5.0,11,1.0,1.0,-1.415784973377725,2.4829486351003744e-11,3.5153213673311257e-11
2,5.0,13,1.0,1.0,-1.4157849733777192,2.4833564060427465e-11,3.515898683303931e-11
2,5.0,15,1.0,1.0,-1.4157849733781989,2.4494800508302802e-11,3.467937048640124e-11
3,5.0,1,0.3,0.3,-1.1362594550413632,8.899165418330505e-5,0.00010110861066303656
3,5.0,3,0.3,0.3,-1.136158352255194,5.126480648117552e-9,5.824493776174222e-9
3,5.0,5,0.3,0.3,-1.1361583464315301,7.305343800160103e-13,8.30002733209767e-13
3,5.0,7,0.3,0.3,-1.136158346430693,6.2539058749364184e-15,7.105427357601002e-15
3,5.0,9,0.3,0.3,-1.1361583464306921,7.035644109303471e-15,7.993605777301127e-15
3,5.0,11,0.3,0.3,-1.136158346430694,5.472167640569366e-15,6.217248937900877e-15
3,5.0,13,0.3,0.3,-1.1361583464306966,3.1269529374682092e-15,3.552713678800501e-15
3,5.0,15,0.3,0.3,-1.136158346430697,2.736083820284683e-15,3.1086244689504383e-15
3,5.0,1,0.6,0.6,-1.0424165431480645,0.0004071739197928521,0.0004242720774056963
3,5.0,3,0.6,0.6,-1.0419923763193966,1.01007215357712e-7,1.0524873772510546e-7
3,5.0,5,0.6,0.6,-1.0419922711323628,5.921730609308206e-11,6.170397526261695e-11
3,5.0,7,0.6,0.6,-1.0419922710707197,5.838836183203601e-14,6.084022174945858e-14
3,5.0,9,0.6,0.6,-1.0419922710706833,2.3440583217240733e-14,2.4424906541753444e-14
3,5.0,11,0.6,0.6,-1.0419922710706664,7.245271176238045e-15,7.549516567451064e-15
3,5.0,13,0.6,0.6,-1.0419922710706522,6.3928863319747455e-15,6.661338147750939e-15
3,5.0,15,0.6,0.6,-1.0419922710706464,1.1933387819686193e-14,1.2434497875801753e-14
3,5.0,1,1.0,1.0,-0.9172926606236667,0.001367131045973309,0.0012523471519103602
3,5.0,3,1.0,1.0,-0.9160412502329622,1.0226200661281647e-6,9.367612059385522e-7
3,5.0,5,1.0,1.0,-0.9160403150607963,1.73468349298198e-9,1.589040010685494e-9
3,5.0,7,1.0,1.0,-0.9160403135107602,4.2578815187835874e-11,3.900391121192115e-11
3,5.0,9,1.0,1.0,-0.9160403135080788,3.9651639811773834e-11,3.632250056284647e-11
3,5.0,11,1.0,1.0,-0.9160403135081161,3.9692362357581914e-11,3.6359804056473877e-11
3,5.0,13,1.0,1.0,-0.9160403135081747,3.9756354929566045e-11,3.6418423832174085e-11
3,5.0,15,1.0,1.0,-0.9160403135075317,3.90543758065886e-11,3.5775382656311194e-11
4,5.0,1,0.3,0.3,-2.241249909591437,8.809708017802621e-5,0.00019743017996187717
4,5.0,3,0.3,0.3,-2.2410525089592084,1.3184757349758799e-8,2.954773314911563e-8
4,5.0,5,0.3,0.3,-2.2410524794163877,2.19205702878117e-12,4.912514839361393e-12
4,5.0,7,0.3,0.3,-2.2410524794114743,3.9632200845799493e-16,8.881784197001252e-16
4,5.0,9,0.3,0.3,-2.241052479411474,5.944830126869924e-16,1.3322676295501878e-15
4,5.0,11,0.3,0.3,-2.2410524794114752,0.0,0.0
4,5.0,13,0.3,0.3,-2.241052479411473,9.908050211449874e-16,2.220446049250313e-15
4,5.0,15,0.3,0.3,-2.2410524794114743,3.9632200845799493e-16,8.881784197001252e-16
4,5.0,1,0.6,0.6,-2.190162181257097,0.0003688145770052676,0.0008074659332466538
4,5.0,3,0.6,0.6,-2.1893551997242073,2.2125256988677547e-7,4.844003571591315e-7
4,5.0,5,0.6,0.6,-2.189354715646238,1.4725247211052996e-10,3.223878941582825e-10
4,5.0,7,0.6,0.6,-2.1893547153240234,7.910768895934955e-14,1.7319479184152442e-13
