i,H,r,Lz,γu,γd,M,energy,error_r,error_a
1,0.5,0.0,0.5,0.6,0.6,0,9.685123260745183,0.6598516169056924,18.788107076674763
1,0.5,0.0,0.5,0.6,0.6,5,75.0340691375544,1.6352496098394391,46.56083880013445
1,0.5,0.0,0.5,0.6,0.6,10,78.079369214089,1.7422027036909795,49.60613887666905
1,0.5,0.0,0.5,0.6,0.6,15,78.31613786454324,1.750518186256478,49.84290752712329
1,0.5,0.0,0.5,0.6,0.6,20,78.33455162947662,1.751164890712389,49.86132129205667
1,0.5,0.0,0.5,0.6,0.6,25,78.33598327896019,1.7512151712554322,49.862752941540236
1,0.5,0.0,0.5,0.6,0.6,30,78.3360946199607,1.7512190816301667,49.862864282540755
1,0.5,0.0,0.5,0.6,0.6,35,78.33610327660224,1.7512193856575438,49.862872939182296
1,0.5,0.0,0.5,0.6,0.6,40,78.33610394983863,1.751219409302082,49.86287361241868
1,0.5,0.0,0.5,0.6,0.6,45,78.33610400217637,1.7512194111402206,49.86287366475642
1,0.5,0.0,0.5,0.6,0.6,50,78.33610400625288,1.7512194112833905,49.86287366883293
1,0.5,0.0,0.5,0.6,0.6,55,78.33610400656394,1.7512194112943154,49.862873669143994
1,0.5,0.0,0.5,0.6,0.6,60,78.3361040065887,1.7512194112951847,49.86287366916875
1,0.5,0.0,0.5,0.6,0.6,65,78.33610400659026,1.7512194112952395,49.86287366917031
1,0.5,0.0,0.5,0.6,0.6,70,78.33610400659036,1.751219411295243,49.86287366917041
1,0.5,0.0,0.5,0.6,0.6,75,78.33610400659046,1.7512194112952466,49.86287366917051
1,0.5,0.0,0.5,0.6,0.6,80,78.33610400659052,1.7512194112952486,49.86287366917057
1,0.5,0.0,0.5,0.6,0.6,85,78.33610400660108,1.7512194112956194,49.86287366918113
1,0.5,0.0,0.5,0.6,0.6,90,78.33610400659042,1.751219411295245,49.86287366917047
1,0.5,0.0,0.5,0.6,0.6,95,78.33610400659065,1.751219411295253,49.862873669170696
1,0.5,0.0,0.5,0.6,0.6,100,78.33610400659063,1.7512194112952526,49.86287366917068
1,0.5,0.25,3.0,0.6,0.6,0,-1.4446360428195264,1.0507366401950173,29.91786638023947
1,0.5,0.25,3.0,0.6,0.6,5,31.070795079232724,0.09122831203311063,2.5975647418127785
1,0.5,0.25,3.0,0.6,0.6,10,31.62940637437043,0.1108471360484374,3.156176036950484
1,0.5,0.25,3.0,0.6,0.6,15,31.673269049704405,0.11238762424785084,3.20003871228446
1,0.5,0.25,3.0,0.6,0.6,20,31.676377335721963,0.11249678945252635,3.2031469983020173
1,0.5,0.25,3.0,0.6,0.6,25,31.67659677836726,0.11250449643352904,3.2033664409473133
1,0.5,0.25,3.0,0.6,0.6,30,31.67661323636703,0.11250507445012832,3.2033828989470834
1,0.5,0.25,3.0,0.6,0.6,35,31.676614634374474,0.11250512354913916,3.2033842969545283
1,0.5,0.25,3.0,0.6,0.6,40,31.676614757868965,0.11250512788635308,3.2033844204490194
1,0.5,0.25,3.0,0.6,0.6,45,31.676614767560487,0.1125051282267262,3.2033844301405416
1,0.5,0.25,3.0,0.6,0.6,50,31.67661476825303,0.11250512825104887,3.2033844308330863
