i,H,r,Lz,γu,γd,M,energy,error_r,error_a
1,5.0,5.0,55.0,1.0,1.0,1,0.0010410406516173105,0.27808099171268325,0.0004010056716774301
1,5.0,5.0,55.0,1.0,1.0,3,0.0014412638102006118,0.0005426407470329447,7.825130941287693e-7
1,5.0,5.0,55.0,1.0,1.0,5,0.0014420464493170098,8.739127668108507e-8,1.2602226922599213e-10
1,5.0,5.0,55.0,1.0,1.0,7,0.0014429022134395644,0.000593524723164477,8.558901448238627e-7
1,5.0,5.0,55.0,1.0,1.0,9,0.0019281510194075076,0.3370936760215378,0.00048610469611276705
1,5.0,5.0,55.0,1.0,1.0,11,0.03444930000166418,22.889177098663193,0.03300725367836944
1,5.0,5.0,55.0,1.0,1.0,13,0.04265908335755502,28.58232524742266,0.04121703703426028
1,5.0,5.0,55.0,1.0,1.0,15,0.042676992453812464,28.594744471388033,0.04123494613051772
2,5.0,5.0,55.0,1.0,1.0,1,0.005388727477381708,0.03423870402854989,0.00019104414927189305
2,5.0,5.0,55.0,1.0,1.0,3,0.005579431212593925,6.100860079110037e-5,3.404140596760183e-7
2,5.0,5.0,55.0,1.0,1.0,5,0.005579772966753311,2.4017106786576113e-7,1.3400997100204703e-9
2,5.0,5.0,55.0,1.0,1.0,7,0.005580837130957503,0.00019095840747524633,1.0655043039013365e-6
2,5.0,5.0,55.0,1.0,1.0,9,0.006218120164371561,0.11440406174845574,0.00063834853771796
2,5.0,5.0,55.0,1.0,1.0,11,0.031177569492901867,4.587606729990888,0.025597797866248266
2,5.0,5.0,55.0,1.0,1.0,13,0.03625625442469507,5.49780257161516,0.03067648279804147
2,5.0,5.0,55.0,1.0,1.0,15,0.03626419723402133,5.499226072406539,0.030684425607367727
3,5.0,5.0,55.0,1.0,1.0,1,193.9564924679097,8.721459589295876e-7,0.0001691585186449629
3,5.0,5.0,55.0,1.0,1.0,3,193.95666132769375,1.540213098829607e-9,2.987345908422867e-7
3,5.0,5.0,55.0,1.0,1.0,5,193.9566616285347,1.0859958559472652e-11,2.1063613075966714e-9
3,5.0,5.0,55.0,1.0,1.0,7,193.95666307037044,7.444663588500037e-9,1.4439420965572936e-6
3,5.0,5.0,55.0,1.0,1.0,9,193.95759102251688,4.7917719388640025e-6,0.0009293960885372599
3,5.0,5.0,55.0,1.0,1.0,11,194.0434965047442,0.00044770247944934423,0.08683487831586945
3,5.0,5.0,55.0,1.0,1.0,13,194.04854140943428,0.0004737129533756457,0.09187978300593613
3,5.0,5.0,55.0,1.0,1.0,15,194.04854839812023,0.0004737489855794117,0.09188677169188963
4,5.0,5.0,55.0,1.0,1.0,1,-0.007903012925376698,0.03833757422070538,0.0002917956087847614
4,5.0,5.0,55.0,1.0,1.0,3,-0.0076117677157547655,7.231420940104137e-5,5.503991628288615e-7
4,5.0,5.0,55.0,1.0,1.0,5,-0.007611217255242535,8.060392799432584e-9,6.134940125357424e-11
4,5.0,5.0,55.0,1.0,1.0,7,-0.007610632100237863,7.688866704644064e-5,5.852163540735408e-7
4,5.0,5.0,55.0,1.0,1.0,9,-0.007285315959958203,0.042818558855663075,0.0003259013566337338
4,5.0,5.0,55.0,1.0,1.0,11,0.04621852101971295,7.072421676748044,0.05382973833630489
4,5.0,5.0,55.0,1.0,1.0,13,0.052837275833176996,7.942026963018823,0.06044849314976893
4,5.0,5.0,55.0,1.0,1.0,15,0.05284996135781398,7.943693651028023,0.06046117867440592
5,5.0,5.0,55.0,1.0,1.0,1,0.34688306641118777,0.0010436142621262556,0.0003623903110939186
5,5.0,5.0,55.0,1.0,1.0,3,0.34724476535413745,1.991007026442874e-6,6.913681442344277e-7
5,5.0,5.0,55.0,1.0,1.0,5,0.34724545916282185,7.0282853572549845e-9,2.4405401588545317e-9
5,5.0,5.0,55.0,1.0,1.0,7,0.34724746800662765,5.792111335147654e-6,2.011284345959652e-6
5,5.0,5.0,55.0,1.0,1.0,9,0.34843126251302425,0.0034148921685991846,0.0011858057907425668
5,5.0,5.0,55.0,1.0,1.0,11,0.4152986731190068,0.1959801491403022,0.06805321639672512
5,5.0,5.0,55.0,1.0,1.0,13,0.42327810939137345,0.21895938794067735,0.07603265266909176
5,5.0,5.0,55.0,1.0,1.0,15,0.42329400614825324,0.21900516753713298,0.07604854942597156
6,5.0,5.0,55.0,1.0,1.0,1,-0.019945166891835876,0.0014438986881472014,2.884044298779448e-5
6,5.0,5.0,55.0,1.0,1.0,3,-0.019973955287441093,2.6057556555850324e-6,5.2047382577413703e-8
6,5.0,5.0,55.0,1.0,1.0,5,-0.01997400662188031,3.569355656313021e-8,7.129433605979063e-10
6,5.0,5.0,55.0,1.0,1.0,7,-0.019973674129381426,1.668195253257052e-5,3.332054422447439e-7
