i,H,r,Lz,γu,γd,M,energy,error_r,error_a
1,5.0,5.0,55.0,1.0,1.0,1,-1.4041090811573438,0.0046561027052724555,0.006507377075269938
2,5.0,5.0,55.0,1.0,1.0,1,-1.4179595324612058,0.0015359387824872566,0.002174559048327529
3,5.0,5.0,55.0,1.0,1.0,1,-0.9172926606243271,0.0013671310466943163,0.0012523471525708318
4,5.0,5.0,55.0,1.0,1.0,1,-2.1220452101449836,0.0010896839292080217,0.002309841565315107
5,5.0,5.0,55.0,1.0,1.0,1,-1.5148948232160575,0.004221036078914796,0.006367548054484029
6,5.0,5.0,55.0,1.0,1.0,1,-1.2276981083559602,0.0012814633560075147,0.0015712366558997548
7,5.0,5.0,55.0,1.0,1.0,1,-1.4714161259670688,0.0004856330865844986,0.0007149155415446806
8,5.0,5.0,55.0,1.0,1.0,1,-1.553853558901575,0.001892407711051331,0.0029460996784589355
9,5.0,5.0,55.0,1.0,1.0,1,-1.082669113678029,0.002187966282437323,0.002374037830490172
10,5.0,5.0,55.0,1.0,1.0,1,-1.4872938540139915,0.0011784241783834453,0.001754730855197506
1,5.0,5.0,55.0,1.0,1.0,3,-1.397612918219926,8.0238438600542e-6,1.1214137852100237e-5
2,5.0,5.0,55.0,1.0,1.0,3,-1.4157882015255385,2.2800868217368576e-6,3.228112660291771e-6
3,5.0,5.0,55.0,1.0,1.0,3,-0.9160412502084103,1.022593263905932e-6,9.367366540224964e-7
4,5.0,5.0,55.0,1.0,1.0,3,-2.1197392280700535,1.8207416087258544e-6,3.8594903850608375e-6
5,5.0,5.0,55.0,1.0,1.0,3,-1.5085389873912942,7.764015880644272e-6,1.1712229720739487e-5
6,5.0,5.0,55.0,1.0,1.0,3,-1.2261302394473321,2.7466548115460232e-6,3.3677472717208445e-6
7,5.0,5.0,55.0,1.0,1.0,3,-1.4721309690491342,4.9220807973255715e-8,7.24594793055644e-8
8,5.0,5.0,55.0,1.0,1.0,3,-1.556794205723631,3.5026063712192774e-6,5.452856402854422e-6
9,5.0,5.0,55.0,1.0,1.0,3,-1.0850385178151842,4.270515258853999e-6,4.633693335032163e-6
10,5.0,5.0,55.0,1.0,1.0,3,-1.489044984156064,2.418130047323009e-6,3.600713124995991e-6
1,5.0,5.0,55.0,1.0,1.0,5,-1.397601695691234,6.003741821611985e-9,8.390839800753724e-9
2,5.0,5.0,55.0,1.0,1.0,5,-1.4157849616452582,8.311728271270346e-9,1.1767619989555556e-8
3,5.0,5.0,55.0,1.0,1.0,5,-0.9160403017294146,1.2818586127581837e-8,1.1742341654574773e-8
