H,r,Lz,γu,γd,M,error_r
0.5,0.0,0.5,0.6,0.6,0,1.606091046875475
0.5,0.0,0.5,0.6,0.6,5,7.379094903789876
0.5,0.0,0.5,0.6,0.6,10,7.8479820793640345
0.5,0.0,0.5,0.6,0.6,15,7.8844375126005986
0.5,0.0,0.5,0.6,0.6,20,7.8872726990313105
0.5,0.0,0.5,0.6,0.6,25,7.887493131272682
0.5,0.0,0.5,0.6,0.6,30,7.887510274561033
0.5,0.0,0.5,0.6,0.6,35,7.887511607430496
0.5,0.0,0.5,0.6,0.6,40,7.887511711089421
0.5,0.0,0.5,0.6,0.6,45,7.887511719148771
0.5,0.0,0.5,0.6,0.6,50,7.887511719775553
0.5,0.0,0.5,0.6,0.6,55,7.887511719824292
0.5,0.0,0.5,0.6,0.6,60,7.887511719828075
0.5,0.0,0.5,0.6,0.6,65,7.8875117198283675
0.5,0.0,0.5,0.6,0.6,70,7.887511719828378
0.5,0.0,0.5,0.6,0.6,75,7.887511719828381
0.5,0.0,0.5,0.6,0.6,80,7.887511719828381
0.5,0.0,0.5,0.6,0.6,85,7.887511719828381
0.5,0.0,0.5,0.6,0.6,90,7.887511719828381
0.5,0.0,0.5,0.6,0.6,95,7.887511719828381
0.5,0.0,0.5,0.6,0.6,100,7.887511719828381
0.5,0.25,3.0,0.6,0.6,0,1.1233866060887034
0.5,0.25,3.0,0.6,0.6,5,0.5593543248187021
0.5,0.25,3.0,0.6,0.6,10,0.6393830142164741
0.5,0.25,3.0,0.6,0.6,15,0.6456445238898129
0.5,0.25,3.0,0.6,0.6,20,0.6461189604164155
0.5,0.25,3.0,0.6,0.6,25,0.6461546180200036
0.5,0.25,3.0,0.6,0.6,30,0.6461573733004755
0.5,0.25,3.0,0.6,0.6,35,0.6461575934101151
0.5,0.25,3.0,0.6,0.6,40,0.6461576111069877
0.5,0.25,3.0,0.6,0.6,45,0.6461576124912778
0.5,0.25,3.0,0.6,0.6,50,0.6461576125961644
0.5,0.25,3.0,0.6,0.6,55,0.6461576126040476
0.5,0.25,3.0,0.6,0.6,60,0.6461576126046552
0.5,0.25,3.0,0.6,0.6,65,0.6461576126047015
0.5,0.25,3.0,0.6,0.6,70,0.6461576126047046
0.5,0.25,3.0,0.6,0.6,75,0.6461576126047046
0.5,0.25,3.0,0.6,0.6,80,0.6461576126047046
0.5,0.25,3.0,0.6,0.6,85,0.6461576126047047
0.5,0.25,3.0,0.6,0.6,90,0.6461576126047047
0.5,0.25,3.0,0.6,0.6,95,0.6461576126047047
0.5,0.25,3.0,0.6,0.6,100,0.6461576126047047
0.5,0.5,5.5,0.6,0.6,0,1.124604727847279
0.5,0.5,5.5,0.6,0.6,5,0.0876275005750745
0.5,0.5,5.5,0.6,0.6,10,0.11913732290588622
0.5,0.5,5.5,0.6,0.6,15,0.12322395431683814
0.5,0.5,5.5,0.6,0.6,20,0.12339958121293432
0.5,0.5,5.5,0.6,0.6,25,0.12342527415051445
0.5,0.5,5.5,0.6,0.6,30,0.12342632563099258
0.5,0.5,5.5,0.6,0.6,35,0.12342647138735885
0.5,0.5,5.5,0.6,0.6,40,0.12342647838138275
0.5,0.5,5.5,0.6,0.6,45,0.12342647915177077
0.5,0.5,5.5,0.6,0.6,50,0.12342647920214743
0.5,0.5,5.5,0.6,0.6,55,0.12342647920608114
0.5,0.5,5.5,0.6,0.6,60,0.12342647920645039
0.5,0.5,5.5,0.6,0.6,65,0.1234264792064715
0.5,0.5,5.5,0.6,0.6,70,0.12342647920647289
0.5,0.5,5.5,0.6,0.6,75,0.12342647920647294
0.5,0.5,5.5,0.6,0.6,80,0.1234264792064729
