H,s,Lz,γu,γd,M,energy,error_r
1.0,3.0,15.0,0.6,0.6,0,-0.8406101638269619,1.0329562222666209
1.0,3.0,15.0,0.6,0.6,1,24.291524151791155,0.04764788294159719
1.0,3.0,15.0,0.6,0.6,2,25.141695243791293,0.014316823339539037
1.0,3.0,15.0,0.6,0.6,3,25.401829816200454,0.004118216236671044
1.0,3.0,15.0,0.6,0.6,4,25.476348748436166,0.0011966925631398742
1.0,3.0,15.0,0.6,0.6,5,25.50080498810441,0.00023788275450866878
1.0,3.0,15.0,0.6,0.6,6,25.508964222607556,8.200101252431789e-5
1.0,3.0,15.0,0.6,0.6,7,25.512466260932957,0.00021929884498532234
1.0,3.0,15.0,0.6,0.6,8,25.51451734324323,0.0002997117728956696
1.0,3.0,15.0,0.6,0.6,9,25.516326888260522,0.00037065520227298776
1.0,3.0,15.0,0.6,0.6,10,25.518170113040007,0.000442919050765486
1.0,3.0,15.0,0.6,0.6,11,25.520327132876798,0.0005274852721054027
1.0,3.0,15.0,0.6,0.6,12,25.522719459730684,0.0006212767332651815
1.0,3.0,15.0,0.6,0.6,13,25.52537983619562,0.0007255771115667154
1.0,3.0,15.0,0.6,0.6,14,25.527824928301616,0.0008214372407623395
1.0,3.0,15.0,0.6,0.6,15,25.529489811812095,0.0008867091984193596
1.0,3.0,15.0,0.6,0.6,16,25.530370044970155,0.0009212188449259177
1.0,3.0,15.0,0.6,0.6,17,25.530714829759948,0.0009347361739513219
1.0,3.0,15.0,0.6,0.6,18,25.530826446161846,0.0009391121083711864
1.0,3.0,15.0,0.6,0.6,19,25.530862675812084,0.0009405324961529049
1.0,3.0,15.0,0.6,0.6,20,25.530873821087546,0.0009409694480137585
1.0,3.0,15.0,0.6,0.6,21,25.530877760073082,0.0009411238764140021
1.0,3.0,15.0,0.6,0.6,22,25.530879367386685,0.0009411868913365376
1.0,3.0,15.0,0.6,0.6,23,25.530880355350234,0.0009412256245659459
1.0,3.0,15.0,0.6,0.6,24,25.530881184001423,0.000941258111935153
1.0,3.0,15.0,0.6,0.6,25,25.530882077721195,0.0009412931503259749
1.0,3.0,15.0,0.6,0.6,26,25.53088305564442,0.000941331489923272
1.0,3.0,15.0,0.6,0.6,27,25.530884220717294,0.0009413771667449853
1.0,3.0,15.0,0.6,0.6,28,25.530885454282497,0.00094142552881671
1.0,3.0,15.0,0.6,0.6,29,25.530886581788785,0.0009414697328359035
1.0,3.0,15.0,0.6,0.6,30,25.530887393108287,0.0009415015407142709
1.0,4.0,30.0,0.6,0.6,0,-0.8410824704858181,1.0329747391058135
1.0,4.0,30.0,0.6,0.6,1,24.290311581048893,0.04769542192294145
1.0,4.0,30.0,0.6,0.6,2,25.13980275472009,0.014391018600495402
