H,s,Lz,γu,γd,M,error_r
1.0,3.0,15.0,0.6,0.6,0,1.211420251883058
1.0,3.0,15.0,0.6,0.6,1,0.19366521469821701
1.0,3.0,15.0,0.6,0.6,2,0.06782484191182818
1.0,3.0,15.0,0.6,0.6,3,0.022703361683153
1.0,3.0,15.0,0.6,0.6,4,0.0069422427352409406
1.0,3.0,15.0,0.6,0.6,5,0.0013875045556874274
1.0,3.0,15.0,0.6,0.6,6,0.000694107109999628
1.0,3.0,15.0,0.6,0.6,7,0.001598322141400123
1.0,3.0,15.0,0.6,0.6,8,0.002143119923166833
1.0,3.0,15.0,0.6,0.6,9,0.002588282647733184
1.0,3.0,15.0,0.6,0.6,10,0.0030186512789886176
1.0,3.0,15.0,0.6,0.6,11,0.003456530752951718
1.0,3.0,15.0,0.6,0.6,12,0.00389785930532871
1.0,3.0,15.0,0.6,0.6,13,0.004321101950741132
1.0,3.0,15.0,0.6,0.6,14,0.0046793795862289135
1.0,3.0,15.0,0.6,0.6,15,0.004923360615118758
1.0,3.0,15.0,0.6,0.6,16,0.005054077220281835
1.0,3.0,15.0,0.6,0.6,17,0.005109979291956643
1.0,3.0,15.0,0.6,0.6,18,0.005130897515183687
1.0,3.0,15.0,0.6,0.6,19,0.0051383146433390476
1.0,3.0,15.0,0.6,0.6,20,0.005140922063917306
1.0,3.0,15.0,0.6,0.6,21,0.005141890062671662
1.0,3.0,15.0,0.6,0.6,22,0.005142314692024558
1.0,3.0,15.0,0.6,0.6,23,0.005142569993631318
1.0,3.0,15.0,0.6,0.6,24,0.005142778794610657
1.0,3.0,15.0,0.6,0.6,25,0.005142981686389654
1.0,3.0,15.0,0.6,0.6,26,0.005143189141570874
1.0,3.0,15.0,0.6,0.6,27,0.005143400373884913
1.0,3.0,15.0,0.6,0.6,28,0.005143603008613369
1.0,3.0,15.0,0.6,0.6,29,0.005143773450700256
1.0,3.0,15.0,0.6,0.6,30,0.005143890003840621
1.0,4.0,30.0,0.6,0.6,0,1.2114426158572666
1.0,4.0,30.0,0.6,0.6,1,0.19397079982992813
1.0,4.0,30.0,0.6,0.6,2,0.0683543523723955
1.0,4.0,30.0,0.6,0.6,3,0.023458061663234442
1.0,4.0,30.0,0.6,0.6,4,0.007938948945470153
1.0,4.0,30.0,0.6,0.6,5,0.0026478477961703883
1.0,4.0,30.0,0.6,0.6,6,0.0008738283633811633
1.0,4.0,30.0,0.6,0.6,7,0.00028598102934757026
1.0,4.0,30.0,0.6,0.6,8,9.303606005666969e-5
1.0,4.0,30.0,0.6,0.6,9,3.0004125888426693e-5
1.0,4.0,30.0,0.6,0.6,10,9.532375288883025e-6
1.0,4.0,30.0,0.6,0.6,11,2.8659239788860654e-6
1.0,4.0,30.0,0.6,0.6,12,6.82730884995895e-7
1.0,4.0,30.0,0.6,0.6,13,6.767916642136682e-8
1.0,4.0,30.0,0.6,0.6,14,3.4795992752697197e-7
1.0,4.0,30.0,0.6,0.6,15,4.899845041649015e-7
1.0,4.0,30.0,0.6,0.6,16,5.923142172690173e-7
1.0,4.0,30.0,0.6,0.6,17,6.887586677577642e-7
1.0,4.0,30.0,0.6,0.6,18,7.90617467259659e-7
1.0,4.0,30.0,0.6,0.6,19,9.024653772828204e-7
1.0,4.0,30.0,0.6,0.6,20,1.0262046696473385e-6
1.0,4.0,30.0,0.6,0.6,21,1.1632492964388404e-6
1.0,4.0,30.0,0.6,0.6,22,1.3143408369038097e-6
1.0,4.0,30.0,0.6,0.6,23,1.4798797368347228e-6
1.0,4.0,30.0,0.6,0.6,24,1.6597017087121648e-6
1.0,4.0,30.0,0.6,0.6,25,1.852313996299907e-6
1.0,4.0,30.0,0.6,0.6,26,2.0547544794242686e-6
1.0,4.0,30.0,0.6,0.6,27,2.2629003747017798e-6
1.0,4.0,30.0,0.6,0.6,28,2.463973483886841e-6
1.0,4.0,30.0,0.6,0.6,29,2.6460478471940673e-6
1.0,4.0,30.0,0.6,0.6,30,2.7793213577809556e-6
1.0,5.0,45.0,0.6,0.6,0,1.211442618684961
1.0,5.0,45.0,0.6,0.6,1,0.19397080468326294
1.0,5.0,45.0,0.6,0.6,2,0.06835436870204724
1.0,5.0,45.0,0.6,0.6,3,0.023458094878056054
1.0,5.0,45.0,0.6,0.6,4,0.007939002533803067
1.0,5.0,45.0,0.6,0.6,5,0.002647923843827672
1.0,5.0,45.0,0.6,0.6,6,0.0008739295661145758
1.0,5.0,45.0,0.6,0.6,7,0.00028611090281653584
1.0,5.0,45.0,0.6,0.6,8,9.31972355775071e-5
1.0,5.0,45.0,0.6,0.6,9,3.020122885669366e-5
1.0,5.0,45.0,0.6,0.6,10,9.769062355374274e-6
1.0,5.0,45.0,0.6,0.6,11,3.1477774677057244e-6
1.0,5.0,45.0,0.6,0.6,12,1.0142257145633678e-6
1.0,5.0,45.0,0.6,0.6,13,3.2572386307549617e-7
1.0,5.0,45.0,0.6,0.6,14,1.0469154260769374e-7
1.0,5.0,45.0,0.6,0.6,15,3.3530740302378256e-8
1.0,5.0,45.0,0.6,0.6,16,1.0730668448632703e-8
1.0,5.0,45.0,0.6,0.6,17,3.3955875621033935e-9
1.0,5.0,45.0,0.6,0.6,18,1.043001613037698e-9
1.0,5.0,45.0,0.6,0.6,19,2.8063979802152906e-10
1.0,5.0,45.0,0.6,0.6,20,2.95839860557734e-11
1.0,5.0,45.0,0.6,0.6,21,5.962321444243066e-11
1.0,5.0,45.0,0.6,0.6,22,9.749210526844328e-11
1.0,5.0,45.0,0.6,0.6,23,1.202640261635933e-10
1.0,5.0,45.0,0.6,0.6,24,1.3944465663595032e-10
1.0,5.0,45.0,0.6,0.6,25,1.5901008159462531e-10
1.0,5.0,45.0,0.6,0.6,26,1.8030620540619303e-10
1.0,5.0,45.0,0.6,0.6,27,2.0405026388911427e-10
1.0,5.0,45.0,0.6,0.6,28,2.3062279628129824e-10
1.0,5.0,45.0,0.6,0.6,29,2.6044887345939867e-10
1.0,5.0,45.0,0.6,0.6,30,2.938334026064745e-10
1.0,3.0,32.0,1.0,1.0,0,1.120064511176637
1.0,3.0,32.0,1.0,1.0,1,0.5170270567472162
1.0,3.0,32.0,1.0,1.0,2,0.3054471853043173
1.0,3.0,32.0,1.0,1.0,3,0.17158484542621874
1.0,3.0,32.0,1.0,1.0,4,0.09606558127994452
1.0,3.0,32.0,1.0,1.0,5,0.05311831437387589
1.0,3.0,32.0,1.0,1.0,6,0.02911282718918972
1.0,3.0,32.0,1.0,1.0,7,0.015850565451410645
1.0,3.0,32.0,1.0,1.0,8,0.00859778716260207
1.0,3.0,32.0,1.0,1.0,9,0.004648957380939517
1.0,3.0,32.0,1.0,1.0,10,0.0025147325366759294
1.0,3.0,32.0,1.0,1.0,11,0.0013600361927618018
1.0,3.0,32.0,1.0,1.0,12,0.0007362868351072118
1.0,3.0,32.0,1.0,1.0,13,0.0003973633857173393
1.0,3.0,32.0,1.0,1.0,14,0.00020877902410835464
1.0,3.0,32.0,1.0,1.0,15,0.00010323529516935472
1.0,3.0,32.0,1.0,1.0,16,6.38648211946528e-5
1.0,3.0,32.0,1.0,1.0,17,0.0001485343585423436
1.0,3.0,32.0,1.0,1.0,18,0.00033502353539493856
1.0,3.0,32.0,1.0,1.0,19,0.0006736691751228397
1.0,3.0,32.0,1.0,1.0,20,0.0012965577148480194
1.0,3.0,32.0,1.0,1.0,21,0.002450927941291516
1.0,3.0,32.0,1.0,1.0,22,0.004584450692555052
1.0,3.0,32.0,1.0,1.0,23,0.008532860784196253
1.0,3.0,32.0,1.0,1.0,24,0.015784683464796778
1.0,3.0,32.0,1.0,1.0,25,0.02904613705892027
1.0,3.0,32.0,1.0,1.0,26,0.05305014887042027
1.0,3.0,32.0,1.0,1.0,27,0.09599645429936142
1.0,3.0,32.0,1.0,1.0,28,0.17149991670494047
1.0,3.0,32.0,1.0,1.0,29,0.3048899503706968
1.0,3.0,32.0,1.0,1.0,30,0.5139507451385312
1.0,3.0,32.0,1.0,1.0,31,0.8147190131393575
1.0,3.0,32.0,1.0,1.0,32,1.1643554854087468
1.0,3.0,32.0,1.0,1.0,33,1.4706826258359735
1.0,3.0,32.0,1.0,1.0,34,1.6835260767681168
1.0,3.0,32.0,1.0,1.0,35,1.8124308796470237
1.0,3.0,32.0,1.0,1.0,36,1.8862463331967718
1.0,3.0,32.0,1.0,1.0,37,1.927717612275896
1.0,3.0,32.0,1.0,1.0,38,1.950627319953168
1.0,3.0,32.0,1.0,1.0,39,1.9632534323139688
1.0,3.0,32.0,1.0,1.0,40,1.9700956936756817
1.0,3.0,32.0,1.0,1.0,41,1.9738252818440774
1.0,3.0,32.0,1.0,1.0,42,1.9758247725543348
1.0,3.0,32.0,1.0,1.0,43,1.976910166568651
1.0,3.0,32.0,1.0,1.0,44,1.9774928954008786
1.0,3.0,32.0,1.0,1.0,45,1.9778108052191892
1.0,3.0,32.0,1.0,1.0,46,1.9779884506306629
1.0,3.0,32.0,1.0,1.0,47,1.9781023856230127
1.0,3.0,32.0,1.0,1.0,48,1.978196840112508
1.0,3.0,32.0,1.0,1.0,49,1.9783107768513504
1.0,3.0,32.0,1.0,1.0,50,1.978488429048808
1.0,4.0,62.0,1.0,1.0,0,1.1200650220759247
1.0,4.0,62.0,1.0,1.0,1,0.5170082918662251
1.0,4.0,62.0,1.0,1.0,2,0.30543416094747194
1.0,4.0,62.0,1.0,1.0,3,0.1715499160162959
1.0,4.0,62.0,1.0,1.0,4,0.09602946597103164
1.0,4.0,62.0,1.0,1.0,5,0.053084154613699676
1.0,4.0,62.0,1.0,1.0,6,0.02907775129609148
1.0,4.0,62.0,1.0,1.0,7,0.01582040582732285
1.0,4.0,62.0,1.0,1.0,8,0.008568068116459486
1.0,4.0,62.0,1.0,1.0,9,0.0046211672255377255
1.0,4.0,62.0,1.0,1.0,10,0.002487478342821701
1.0,4.0,62.0,1.0,1.0,11,0.0013351015959841826
1.0,4.0,62.0,1.0,1.0,12,0.0007162101539264023
1.0,4.0,62.0,1.0,1.0,13,0.0003833534312161982
1.0,4.0,62.0,1.0,1.0,14,0.0002052574429569361
1.0,4.0,62.0,1.0,1.0,15,0.00010970146274710605
1.0,4.0,62.0,1.0,1.0,16,5.8685724258847785e-5
1.0,4.0,62.0,1.0,1.0,17,3.1348882275610757e-5
1.0,4.0,62.0,1.0,1.0,18,1.677366052001846e-5
1.0,4.0,62.0,1.0,1.0,19,8.9714843216113e-6
1.0,4.0,62.0,1.0,1.0,20,4.81374366751323e-6
1.0,4.0,62.0,1.0,1.0,21,2.5887967021800743e-6
1.0,4.0,62.0,1.0,1.0,22,1.404523350363086e-6
1.0,4.0,62.0,1.0,1.0,23,7.705554517620812e-7
1.0,4.0,62.0,1.0,1.0,24,4.335066504880276e-7
1.0,4.0,62.0,1.0,1.0,25,2.540825230086752e-7
1.0,4.0,62.0,1.0,1.0,26,1.575039811380829e-7
1.0,4.0,62.0,1.0,1.0,27,1.0604411060437572e-7
1.0,4.0,62.0,1.0,1.0,28,7.891063138816192e-8
1.0,4.0,62.0,1.0,1.0,29,7.419386439053398e-8
1.0,4.0,62.0,1.0,1.0,30,7.646224300503108e-8
1.0,4.0,62.0,1.0,1.0,31,7.618207415737736e-8
