H,γu,γd,i,energy_exact
10.0,0.3,0.3,1,-0.1247550076827939
10.0,0.5,0.5,1,0.21470693341677194
10.0,0.6,0.6,1,0.38444266914793657
10.0,0.6,-0.6,1,-1.022088014679991
10.0,-0.6,-0.6,1,-1.652177180635967
10.0,0.95,0.95,1,0.9785428208710791
10.0,0.95,-0.95,1,-1.2485695166475184
10.0,-0.95,-0.95,1,-2.2461058719634415
10.0,1.0,1.0,1,1.063417461258466
10.0,1.0,-1.0,1,-1.2809271808535319
10.0,-1.0,-1.0,1,-2.3309496968277017
5.0,0.3,0.3,1,0.07477570012385248
5.0,0.5,0.5,1,0.8302614316217838
5.0,0.6,0.6,1,1.208164821474857
5.0,0.6,-0.6,1,-1.9338260676658643
5.0,-0.6,-0.6,1,-3.3203063433759006
5.0,0.95,0.95,1,2.5317310018507606
5.0,0.95,-0.95,1,-2.4464087084390806
5.0,-0.95,-0.95,1,-4.638942690745631
5.0,1.0,1.0,1,2.7209328237047417
5.0,1.0,-1.0,1,-2.5197255991124505
5.0,-1.0,-1.0,1,-4.8272573163864845
1.0,0.3,0.3,1,5.105760446567796
1.0,0.5,0.5,1,9.828490650398152
1.0,0.6,0.6,1,12.247069114394943
1.0,0.6,-0.6,1,-6.729011722813896
1.0,-0.6,-0.6,1,-15.075050089191823
1.0,0.95,0.95,1,21.173435196368022
1.0,0.95,-0.95,1,-9.848330494509138
1.0,-0.95,-0.95,1,-22.699917994755868
1.0,1.0,1.0,1,22.533714568835563
1.0,1.0,-1.0,1,-10.30277772666165
1.0,-1.0,-1.0,1,-23.786994086956117
0.5,0.3,0.3,1,12.772730470538955
0.5,0.5,0.5,1,23.07418571547641
0.5,0.6,0.6,1,28.473230337419945
0.5,0.6,-0.6,1,-12.263014748318643
0.5,-0.6,-0.6,1,-29.531306548229896
0.5,0.95,0.95,1,49.90671117317181
0.5,0.95,-0.95,1,-19.056097634032035
0.5,-0.95,-0.95,1,-45.19647297666133
0.5,1.0,1.0,1,53.58713420487386
0.5,1.0,-1.0,1,-20.049500743295344
0.5,-1.0,-1.0,1,-47.42682406005742
0.1,0.3,0.3,1,76.4994352939926
0.1,0.5,0.5,1,133.95119139047173
0.1,0.6,0.6,1,165.38950625094927
0.1,0.6,-0.6,1,-57.28964278152534
0.1,-0.6,-0.6,1,-145.63380812470632
0.1,0.95,0.95,1,320.5980384050347
0.1,0.95,-0.95,1,-94.339871741978
0.1,-0.95,-0.95,1,-225.72362333539897
0.1,1.0,1.0,1,367.7105699409251
0.1,1.0,-1.0,1,-99.72110708982493
0.1,-1.0,-1.0,1,-237.09995255382987
10.0,0.0,0.0,1,-0.6339241456507412
5.0,0.0,0.0,1,-1.057703375625016
1.0,0.0,0.0,1,-1.7699013626729516
0.5,0.0,0.0,1,-1.860463248569105
0.1,0.0,0.0,1,-1.9297174368490384
10.0,0.3,0.3,2,0.16857260717979905
10.0,0.5,0.5,2,0.36211092399582645
10.0,0.6,0.6,2,0.4588765766530556
10.0,0.6,-0.6,2,-0.40972654471362535
10.0,-0.6,-0.6,2,-0.7024667087022793
10.0,0.95,0.95,2,0.7975380591359751
10.0,0.95,-0.95,2,-0.5776721352954963
10.0,-0.95,-0.95,2,-1.0412565178831237
10.0,1.0,1.0,2,0.8459159569742143
10.0,1.0,-1.0,2,-0.6016620019972514
10.0,-1.0,-1.0,2,-1.0896574790994813
5.0,0.3,0.3,2,0.33717538329899854
5.0,0.5,0.5,2,0.7995131746004827
5.0,0.6,0.6,2,1.0307505742157113
5.0,0.6,-0.6,2,-0.9444643206677652
