H,γu,γd,i,energy_exact
5.0,0.3,0.3,1,-1.6694645763435711
5.0,0.6,0.6,1,-1.5537736700092175
5.0,0.95,0.95,1,-1.4172475054087506
5.0,1.0,1.0,1,-1.3976017040820738
5.0,0.0,0.0,1,-1.783991392252919
5.0,0.3,0.3,2,-1.67668131395626
5.0,0.6,0.6,2,-1.565154218398316
5.0,0.95,0.95,2,-1.4345004324610588
5.0,1.0,1.0,2,-1.4157849734128782
5.0,0.0,0.0,2,-1.7878212309604473
5.0,0.3,0.3,3,-1.1361583464307001
5.0,0.6,0.6,3,-1.0419922710706588
5.0,0.95,0.95,3,-0.9318112522237478
5.0,1.0,1.0,3,-0.9160403134717563
5.0,0.0,0.0,3,-1.2301023669346653
5.0,0.3,0.3,4,-2.2410524794114752
5.0,0.6,0.6,4,-2.18935471532385
5.0,0.95,0.95,4,-2.128482813016947
5.0,1.0,1.0,4,-2.1197353685796685
5.0,0.0,0.0,4,-2.2923376379257756
5.0,0.3,0.3,5,-1.7535587378635822
5.0,0.6,0.6,5,-1.6493512244126554
5.0,0.95,0.95,5,-1.5262523847338723
5.0,1.0,1.0,5,-1.5085272751615735
5.0,0.0,0.0,5,-1.8566275148168243
5.0,0.3,0.3,6,-1.527022256690878
5.0,0.6,0.6,6,-1.3982981260097755
5.0,0.95,0.95,6,-1.2476865057502153
5.0,1.0,1.0,6,-1.2261268717000604
5.0,0.0,0.0,6,-1.6554707902110883
5.0,0.3,0.3,7,-1.68246347130468
5.0,0.6,0.6,7,-1.5922527178434138
5.0,0.95,0.95,7,-1.4871381421979804
5.0,1.0,1.0,7,-1.4721310415086135
5.0,0.0,0.0,7,-1.7728058338973676
5.0,0.3,0.3,8,-1.7646896374698913
5.0,0.6,0.6,8,-1.6752721344111707
5.0,0.95,0.95,8,-1.5715650720497378
5.0,1.0,1.0,8,-1.5567996585800339
5.0,0.0,0.0,8,-1.8546425487230227
5.0,0.3,0.3,9,-1.2762610320024552
5.0,0.6,0.6,9,-1.1940496928981306
5.0,0.95,0.95,9,-1.0986334158678686
5.0,1.0,1.0,9,-1.0850431515085193
5.0,0.0,0.0,9,-1.3589035549389705
5.0,0.3,0.3,10,-1.630463004921205
5.0,0.6,0.6,10,-1.569664348880389
5.0,0.95,0.95,10,-1.4990993509448
5.0,1.0,1.0,10,-1.489048584869189
5.0,0.0,0.0,10,-1.6915804079546115
