H,γu,γd,i,energy_exact
10.0,0.3,0.3,1,-0.003985555973564897
10.0,0.5,0.5,1,-0.003490411691925252
10.0,0.6,0.6,1,-0.0032427591416095553
10.0,0.6,-0.6,1,-0.0056732470478498
10.0,-0.6,-0.6,1,-0.006211059670319374
10.0,0.95,0.95,1,-0.002375552379660098
10.0,0.95,-0.95,1,-0.0062256024859412284
10.0,-0.95,-0.95,1,-0.007075368433773571
10.0,1.0,1.0,1,-0.0022516119389210665
10.0,1.0,-1.0,1,-0.006304563622207424
10.0,-1.0,-1.0,1,-0.0071987880349491384
5.0,0.3,0.3,1,-0.009734673589026605
5.0,0.5,0.5,1,-0.006583068319543445
5.0,0.6,0.6,1,-0.004994996957202347
5.0,0.6,-0.6,1,-0.018375790525800573
5.0,-0.6,-0.6,1,-0.023535654669029765
5.0,0.95,0.95,1,0.0006298282705549801
5.0,0.95,-0.95,1,-0.020816452703418642
5.0,-0.95,-0.95,1,-0.028746110743832307
5.0,1.0,1.0,1,0.0014420463232947406
5.0,1.0,-1.0,1,-0.02117235029504269
5.0,-1.0,-1.0,1,-0.0294837634687469
1.0,0.3,0.3,1,0.042313677272441966
1.0,0.5,0.5,1,0.08976208164005503
1.0,0.6,0.6,1,0.11650968714748756
1.0,0.6,-0.6,1,-0.05743771586302007
1.0,-0.6,-0.6,1,-0.11731946710274044
1.0,0.95,0.95,1,0.2360826188966608
1.0,0.95,-0.95,1,-0.08964748727995683
1.0,-0.95,-0.95,1,-0.16758306515462984
1.0,1.0,1.0,1,0.2582025502948107
1.0,1.0,-1.0,1,-0.09450308535096807
1.0,-1.0,-1.0,1,-0.1745059662845338
0.5,0.3,0.3,1,0.11752614199093488
0.5,0.5,0.5,1,0.22987058123903553
0.5,0.6,0.6,1,0.2965871758807735
0.5,0.6,-0.6,1,-0.10596903947278742
0.5,-0.6,-0.6,1,-0.23070629617163807
0.5,0.95,0.95,1,0.6526882879556972
0.5,0.95,-0.95,1,-0.17830105795210657
0.5,-0.95,-0.95,1,-0.3363524892256238
0.5,1.0,1.0,1,0.737040700426957
0.5,1.0,-1.0,1,-0.18900041079218877
0.5,-1.0,-1.0,1,-0.3509323431956228
0.1,0.3,0.3,1,0.7234947768472411
0.1,0.5,0.5,1,1.3660859214356296
0.1,0.6,0.6,1,1.7677360796680603
0.1,0.6,-0.6,1,-0.4950028876178896
0.1,-0.6,-0.6,1,-1.1356687068511278
0.1,0.95,0.95,1,4.726845257248469
0.1,0.95,-0.95,1,-0.8877019479938109
0.1,-0.95,-0.95,1,-1.6820923558946752
0.1,1.0,1.0,1,6.246703495768388
0.1,1.0,-1.0,1,-0.9450020530899829
0.1,-1.0,-1.0,1,-1.7577343734652895
10.0,0.0,0.0,1,-0.004727870950778604
5.0,0.0,0.0,1,-0.014402569517184896
1.0,0.0,0.0,1,-0.018256492426220725
0.5,0.0,0.0,1,-0.018385369731940118
0.1,0.0,0.0,1,-0.01842673054635391
10.0,0.3,0.3,2,-0.017542351732257225
10.0,0.5,0.5,2,-0.01624561115218806
10.0,0.6,0.6,2,-0.01559723083773236
10.0,0.6,-0.6,2,-0.01560018767763345
10.0,-0.6,-0.6,2,-0.023377371545285713
10.0,0.95,0.95,2,-0.013327845556844187
10.0,0.95,-0.95,2,-0.013332750930983309
10.0,-0.95,-0.95,2,-0.025646417301178018
10.0,1.0,1.0,2,-0.013003640627938878
10.0,1.0,-1.0,2,-0.013008838426394512
10.0,-1.0,-1.0,2,-0.025970561209336038
5.0,0.3,0.3,2,-0.012758477459114403
5.0,0.5,0.5,2,-0.007540119549431554
5.0,0.6,0.6,2,-0.0049249074259167525
5.0,0.6,-0.6,2,-0.005433082901423275
5.0,-0.6,-0.6,2,-0.036071904362593235
5.0,0.95,0.95,2,0.0042626462341884275
5.0,0.95,-0.95,2,0.0033226625490272443
5.0,-0.95,-0.95,2,-0.04507915991590178
5.0,1.0,1.0,2,0.005579771626653601
5.0,1.0,-1.0,2,0.004568983454481618
5.0,-1.0,-1.0,2,-0.04636384457131906
1.0,0.3,0.3,2,0.05367420471789222
1.0,0.5,0.5,2,0.10978493958955719
1.0,0.6,0.6,2,0.1405324686725311
1.0,0.6,-0.6,2,0.06760411496636565
1.0,-0.6,-0.6,2,-0.1501167155233714
1.0,0.95,0.95,2,0.2705869693483257
1.0,0.95,-0.95,2,0.1060431486319674
1.0,-0.95,-0.95,2,-0.21927544502588187
1.0,1.0,1.0,2,0.2934059345078244
1.0,1.0,-1.0,2,0.11092439054414813
1.0,-1.0,-1.0,2,-0.22902511936196868
0.5,0.3,0.3,2,0.1444168866911502
0.5,0.5,0.5,2,0.2753592167266425
0.5,0.6,0.6,2,0.3507345080740066
0.5,0.6,-0.6,2,0.14636296051628944
0.5,-0.6,-0.6,2,-0.29465538182926754
0.5,0.95,0.95,2,0.7250739816158208
0.5,0.95,-0.95,2,0.2135091790903098
0.5,-0.95,-0.95,2,-0.437969124985013
0.5,1.0,1.0,2,0.8074475045274745
0.5,1.0,-1.0,2,0.2220034002855085
0.5,-1.0,-1.0,2,-0.4581801359971527
0.1,0.3,0.3,2,0.8760590796428002
0.1,0.5,0.5,2,1.621236134543007
0.1,0.6,0.6,2,2.073493775989271
0.1,0.6,-0.6,2,0.7719981064565017
0.1,-0.6,-0.6,2,-1.451997205483226
0.1,0.95,0.95,2,5.158404818879168
0.1,0.95,-0.95,2,1.0719444485783793
0.1,-0.95,-0.95,2,-2.1874354385388766
0.1,1.0,1.0,2,6.59873751627161
0.1,1.0,-1.0,2,1.1100172583699097
0.1,-1.0,-1.0,2,-2.291108543182827
10.0,0.0,0.0,2,-0.019487413844605256
5.0,0.0,0.0,2,-0.02055813234456748
1.0,0.0,0.0,2,-0.020911999615443877
0.5,0.0,0.0,2,-0.020923150428734674
0.1,0.0,0.0,2,-0.02092671988836567
10.0,0.3,0.3,3,29.08769187123589
10.0,0.5,0.5,3,48.48334694203569
10.0,0.6,0.6,3,58.18117448856958
10.0,0.6,-0.6,3,58.181134685377494
10.0,-0.6,-0.6,3,-58.19275564651335
10.0,0.95,0.95,3,92.12357096562862
10.0,0.95,-0.95,3,92.12350769162828
10.0,-0.95,-0.95,3,-92.13515180601186
10.0,1.0,1.0,3,96.97248475677725
10.0,1.0,-1.0,3,96.97241811239248
10.0,-1.0,-1.0,3,-96.98406554008724
5.0,0.3,0.3,3,58.17453223460496
5.0,0.5,0.5,3,96.96940664506992
5.0,0.6,0.6,3,116.36684933934326
5.0,0.6,-0.6,3,116.3656438562603
5.0,-0.6,-0.6,3,-116.4022625287351
5.0,0.95,0.95,3,184.25793117958193
5.0,0.95,-0.95,3,184.25589909830336
5.0,-0.95,-0.95,3,-184.2931980617479
5.0,1.0,1.0,3,193.95666162642834
5.0,1.0,-1.0,3,193.95450272009327
5.0,-1.0,-1.0,3,-193.9919021839478
1.0,0.3,0.3,3,290.97677930371
1.0,0.5,0.5,3,484.9830081517133
1.0,0.6,0.6,3,581.9885114645962
1.0,0.6,-0.6,3,581.9107499993085
1.0,-0.6,-0.6,3,-582.0075810148128
1.0,0.95,0.95,3,921.5273248834825
1.0,0.95,-0.95,3,921.3607118468175
1.0,-0.95,-0.95,3,-921.4927610069919
1.0,1.0,1.0,3,970.0365087592883
1.0,1.0,-1.0,3,969.8529925622144
1.0,-1.0,-1.0,3,-969.9905751721502
0.5,0.3,0.3,3,581.99537340687
0.5,0.5,0.5,3,970.0279416539088
0.5,0.6,0.6,3,1164.0534173858957
0.5,0.6,-0.6,3,1163.8349852181314
0.5,-0.6,-0.6,3,-1164.0095578090832
0.5,0.95,0.95,3,1843.2416586463733
0.5,0.95,-0.95,3,1842.7237601490294
0.5,-0.95,-0.95,3,-1842.9864536910013
0.5,1.0,1.0,3,1940.293653079476
0.5,1.0,-1.0,3,1939.7067983315173
0.5,-1.0,-1.0,3,-1939.9830531521911
0.1,0.3,0.3,3,2910.1544843983124
0.1,0.5,0.5,3,4850.419782089664
0.1,0.6,0.6,3,5820.631176247992
0.1,0.6,-0.6,3,5819.221869422038
0.1,-0.6,-0.6,3,-5820.023874079126
0.1,0.95,0.95,3,9217.81197931527
0.1,0.95,-0.95,3,9213.623969977967
0.1,-0.95,-0.95,3,-9214.931757704018
0.1,1.0,1.0,3,9704.029765443516
0.1,1.0,-1.0,3,9698.534001942522
0.1,-1.0,-1.0,3,-9699.918310314784
10.0,0.0,0.0,3,-0.005790684337250801
5.0,0.0,0.0,3,-0.017755061594312074
1.0,0.0,0.0,3,-0.023978459943317543
0.5,0.0,0.0,3,-0.024217279158936705
0.1,0.0,0.0,3,-0.024294484379532397
10.0,0.3,0.3,4,-0.010590987719661576
10.0,0.5,0.5,4,-0.01043637463674385
10.0,0.6,0.6,4,-0.0103590352818171
10.0,0.6,-0.6,4,-0.01085280525878958
10.0,-0.6,-0.6,4,-0.011285666599376742
10.0,0.95,0.95,4,-0.010088175022561124
10.0,0.95,-0.95,4,-0.010870703776718393
10.0,-0.95,-0.95,4,-0.011555343745878771
10.0,1.0,1.0,4,-0.01004945876881444
10.0,1.0,-1.0,4,-0.010873282508523055
10.0,-1.0,-1.0,4,-0.011593847365989354
5.0,0.3,0.3,4,-0.014006069287032713
5.0,0.5,0.5,4,-0.012209268091099915
5.0,0.6,0.6,4,-0.011301951166403298
5.0,0.6,-0.6,4,-0.016943470235039046
5.0,-0.6,-0.6,4,-0.021813524453616298
5.0,0.95,0.95,4,-0.008078054325219436
5.0,0.95,-0.95,4,-0.017201988602532747
5.0,-0.95,-0.95,4,-0.02473491440587426
5.0,1.0,1.0,4,-0.007611217316591937
5.0,1.0,-1.0,4,-0.017244416491312392
5.0,-1.0,-1.0,4,-0.025147317998310242
1.0,0.3,0.3,4,0.029750467940639985
1.0,0.5,0.5,4,0.06896545014278271
1.0,0.6,0.6,4,0.09148005578101306
1.0,0.6,-0.6,4,-0.03495278769535948
1.0,-0.6,-0.6,4,-0.09413642279333038
1.0,0.95,0.95,4,0.195054899739817
1.0,0.95,-0.95,4,-0.054279808385837874
1.0,-0.95,-0.95,4,-0.13025369922856728
1.0,1.0,1.0,4,0.2146343999058656
1.0,1.0,-1.0,4,-0.05734931274414549
1.0,-1.0,-1.0,4,-0.13511091607625933
0.5,0.3,0.3,4,0.09329400165129537
0.5,0.5,0.5,4,0.18944255904303925
0.5,0.6,0.6,4,0.24783664621633178
0.5,0.6,-0.6,4,-0.06059911442944933
0.5,-0.6,-0.6,4,-0.1838686083827818
0.5,0.95,0.95,4,0.5713702341725014
0.5,0.95,-0.95,4,-0.10750739742478732
0.5,-0.95,-0.95,4,-0.2608810011909197
0.5,1.0,1.0,4,0.6499043993824225
0.5,1.0,-1.0,4,-0.11468325243668036
0.5,-1.0,-1.0,4,-0.2712158846680035
0.1,0.3,0.3,4,0.6058407298466746
0.1,0.5,0.5,4,1.1693169253765516
0.1,0.6,0.6,4,1.5307881535645547
0.1,0.6,-0.6,4,-0.26715464892449076
0.1,-0.6,-0.6,4,-0.9007205324747016
0.1,0.95,0.95,4,4.3342040316169275
0.1,0.95,-0.95,4,-0.5336232315731007
0.1,-0.95,-0.95,4,-1.3036235985436935
0.1,1.0,1.0,4,5.811021990546108
0.1,1.0,-1.0,4,-0.5734162580788155
0.1,-1.0,-1.0,4,-1.35766990961408
10.0,0.0,0.0,4,-0.010822743492891945
5.0,0.0,0.0,4,-0.016657937729278108
1.0,0.0,0.0,4,-0.018807089026048038
0.5,0.0,0.0,4,-0.018877014644546636
0.1,0.0,0.0,4,-0.018899428560872344
10.0,0.3,0.3,5,0.04243823120547459
10.0,0.5,0.5,5,0.07687070538439353
10.0,0.6,0.6,5,0.09408698892957805
10.0,0.6,-0.6,5,-0.11249359500892343
10.0,-0.6,-0.6,5,-0.11250643626885859
10.0,0.95,0.95,5,0.15434423097966576
10.0,0.95,-0.95,5,-0.17274267112102928
10.0,-0.95,-0.95,5,-0.1727620834586194
10.0,1.0,1.0,5,0.16295244067765363
10.0,1.0,-1.0,5,-0.1813497085324664
10.0,-1.0,-1.0,5,-0.18137000652202387
5.0,0.3,0.3,5,0.09296775385766548
5.0,0.5,0.5,5,0.16557846286346384
5.0,0.6,0.6,5,0.20189525513070206
5.0,0.6,-0.6,5,-0.2328463740172192
5.0,-0.6,-0.6,5,-0.23345908204774668
5.0,0.95,0.95,5,0.3290690301527812
5.0,0.95,-0.95,5,-0.3594827124516404
5.0,-0.95,-0.95,5,-0.3602902076863637
5.0,1.0,1.0,5,0.3472454567222817
5.0,1.0,-1.0,5,-0.37757761712360455
5.0,-1.0,-1.0,5,-0.378404976302156
1.0,0.3,0.3,5,0.5625598890334256
1.0,0.5,0.5,5,0.9570417033939714
1.0,0.6,0.6,5,1.1573745676722291
1.0,0.6,-0.6,5,-1.1403766345637991
1.0,-0.6,-0.6,5,-1.15862658414855
1.0,0.95,0.95,5,1.885128615341775
1.0,0.95,-0.95,5,-1.8010371394118656
1.0,-0.95,-0.95,5,-1.8175093229666788
1.0,1.0,1.0,5,1.9942506661387587
1.0,1.0,-1.0,5,-1.8954231698803776
1.0,-1.0,-1.0,5,-1.9115461376240719
0.5,0.3,0.3,5,1.1581253554690265
0.5,0.5,0.5,5,1.9645053872905134
0.5,0.6,0.6,5,2.3783810654060233
0.5,0.6,-0.6,5,-2.272004454912778
0.5,-0.6,-0.6,5,-2.3128300103271924
0.5,0.95,0.95,5,3.9508017406287363
0.5,0.95,-0.95,5,-3.6011095415492904
0.5,-0.95,-0.95,5,-3.6354668763290596
0.5,1.0,1.0,5,4.209136932658551
0.5,1.0,-1.0,5,-3.790846113433563
0.5,-1.0,-1.0,5,-3.8242960276809175
0.1,0.3,0.3,5,5.9269772279287185
0.1,0.5,0.5,5,10.039949795842867
0.1,0.6,0.6,5,12.177561905855848
0.1,0.6,-0.6,5,-11.325167645921004
0.1,-0.6,-0.6,5,-11.545789280496567
0.1,0.95,0.95,5,21.219196288076727
0.1,0.95,-0.95,5,-18.00174544623961
0.1,-0.95,-0.95,5,-18.17652364668781
0.1,1.0,1.0,5,23.60718465697598
0.1,1.0,-1.0,5,-18.95423056717116
0.1,-1.0,-1.0,5,-19.12340614242438
10.0,0.0,0.0,5,-0.009210252838211738
5.0,0.0,0.0,5,-0.01589540659393028
1.0,0.0,0.0,5,-0.018388840269873752
0.5,0.0,0.0,5,-0.018470296492854282
0.1,0.0,0.0,5,-0.018496411000660296
10.0,0.3,0.3,6,-0.013584550265564307
10.0,0.5,0.5,6,-0.013135230804907999
10.0,0.6,0.6,6,-0.012910590960075338
10.0,0.6,-0.6,6,-0.015533893759374029
10.0,-0.6,-0.6,6,-0.015607150522709431
10.0,0.95,0.95,6,-0.012124455345421434
10.0,0.95,-0.95,6,-0.016277572452867595
10.0,-0.95,-0.95,6,-0.016394013595589202
10.0,1.0,1.0,6,-0.01201216338962359
10.0,1.0,-1.0,6,-0.016383798599513513
10.0,-1.0,-1.0,6,-0.016506436293055857
5.0,0.3,0.3,6,-0.02670616542925179
5.0,0.5,0.5,6,-0.02478044058355275
5.0,0.6,0.6,6,-0.023818348110061796
5.0,0.6,-0.6,6,-0.034259872648667755
5.0,-0.6,-0.6,6,-0.03540678008487032
5.0,0.95,0.95,6,-0.020454259381119846
5.0,0.95,-0.95,6,-0.03696353998663093
5.0,-0.95,-0.95,6,-0.03881086530741247
5.0,1.0,1.0,6,-0.01997400733482367
5.0,1.0,-1.0,6,-0.037348771659508104
5.0,-1.0,-1.0,6,-0.03929831397678191
1.0,0.3,0.3,6,-0.0006038406138776098
1.0,0.5,0.5,6,0.031011310353772914
1.0,0.6,0.6,6,0.047871362520368055
1.0,0.6,-0.6,6,-0.09406811772540519
1.0,-0.6,-0.6,6,-0.12157748645585123
1.0,0.95,0.95,6,0.11485630232191796
1.0,0.95,-0.95,6,-0.1274495378519211
1.0,-0.95,-0.95,6,-0.163616857033844
1.0,1.0,1.0,6,0.1258236770501739
1.0,1.0,-1.0,6,-0.1323670044253223
1.0,-1.0,-1.0,6,-0.16954527977688322
0.5,0.3,0.3,6,0.0678830283383722
0.5,0.5,0.5,6,0.15558972399834378
0.5,0.6,0.6,6,0.2049170131898165
0.5,0.6,-0.6,6,-0.16273427481955538
0.5,-0.6,-0.6,6,-0.23087132318951487
0.5,0.95,0.95,6,0.428710286771968
0.5,0.95,-0.95,6,-0.24675087470514218
0.5,-0.95,-0.95,6,-0.32628872488941263
0.5,1.0,1.0,6,0.4720907814556909
0.5,1.0,-1.0,6,-0.25912042181485834
0.5,-1.0,-1.0,6,-0.33957424263970426
0.1,0.3,0.3,6,0.6579641329325663
0.1,0.5,0.5,6,1.2596431200462253
0.1,0.6,0.6,6,1.6300282089990739
0.1,0.6,-0.6,6,-0.7245876571126938
0.1,-0.6,-0.6,6,-1.1092862317005945
0.1,0.95,0.95,6,4.035654398101253
0.1,0.95,-0.95,6,-1.2225211648128296
0.1,-0.95,-0.95,6,-1.6281258074153029
0.1,1.0,1.0,6,4.921951430777034
0.1,1.0,-1.0,6,-1.2943370903590967
0.1,-1.0,-1.0,6,-1.6996238778966248
10.0,0.0,0.0,6,-0.014258629373511009
5.0,0.0,0.0,6,-0.029599314973172405
1.0,0.0,0.0,6,-0.04401638296537104
0.5,0.0,0.0,6,-0.044789747125710724
0.1,0.0,0.0,6,-0.04504515936626334
10.0,0.3,0.3,7,0.012471247901596802
10.0,0.5,0.5,7,0.016601904044931143
10.0,0.6,0.6,7,0.018667178194712614
10.0,0.6,-0.6,7,-0.0036928996727454977
10.0,-0.6,-0.6,7,-0.006118519915220985
10.0,0.95,0.95,7,0.025895357708730263
10.0,0.95,-0.95,7,-0.009506880931763662
10.0,-0.95,-0.95,7,-0.013348695321518639
10.0,1.0,1.0,7,0.026927919526161526
10.0,1.0,-1.0,7,-0.010337411882692368
10.0,-1.0,-1.0,7,-0.014381615848421472
5.0,0.3,0.3,7,0.004626341158398994
5.0,0.5,0.5,7,0.016211119640963403
5.0,0.6,0.6,7,0.022005438511517456
5.0,0.6,-0.6,7,-0.036073809157773
5.0,-0.6,-0.6,7,-0.04747661475079429
5.0,0.95,0.95,7,0.042298731098315376
5.0,0.95,-0.95,7,-0.04968478630758022
5.0,-0.95,-0.95,7,-0.06774500294029573
5.0,1.0,1.0,7,0.04519974506364828
5.0,1.0,-1.0,7,-0.05162909755535433
5.0,-1.0,-1.0,7,-0.0706415379590562
1.0,0.3,0.3,7,0.10118590376438796
1.0,0.5,0.5,7,0.1912340682517178
1.0,0.6,0.6,7,0.23842316336065494
1.0,0.6,-0.6,7,-0.16352753164482386
1.0,-0.6,-0.6,7,-0.26394110498795403
1.0,0.95,0.95,7,0.4210343751475486
1.0,0.95,-0.95,7,-0.25135027187003
1.0,-0.95,-0.95,7,-0.3980360282111104
1.0,1.0,1.0,7,0.45032838230728156
1.0,1.0,-1.0,7,-0.2641468740670944
1.0,-1.0,-1.0,7,-0.41716534068958877
0.5,0.3,0.3,7,0.24737860725502342
0.5,0.5,0.5,7,0.44865675461520976
0.5,0.6,0.6,7,0.557938564469254
0.5,0.6,-0.6,7,-0.3138304054626357
0.5,-0.6,-0.6,7,-0.523183632441931
0.5,0.95,0.95,7,1.0312191652128089
0.5,0.95,-0.95,7,-0.5009366725406581
0.5,-0.95,-0.95,7,-0.7991138889274121
0.5,1.0,1.0,7,1.121282208065391
0.5,1.0,-1.0,7,-0.5280588074034096
0.5,-1.0,-1.0,7,-0.8385168324889476
0.1,0.3,0.3,7,1.432552337560814
0.1,0.5,0.5,7,2.5504638433492466
0.1,0.6,0.6,7,3.1872563426463842
0.1,0.6,-0.6,7,-1.517956500252491
0.1,-0.6,-0.6,7,-2.591024579394703
0.1,0.95,0.95,7,6.810003515280956
0.1,0.95,-0.95,7,-2.499054643650449
0.1,-0.95,-0.95,7,-3.9980617409133727
0.1,1.0,1.0,7,8.167911032162026
0.1,1.0,-1.0,7,-2.6402880733750616
0.1,-1.0,-1.0,7,-4.199284227718814
10.0,0.0,0.0,7,0.006274991369203092
5.0,0.0,0.0,7,-0.012743843427347773
1.0,0.0,0.0,7,-0.02603052903258557
0.5,0.0,0.0,7,-0.026703727870741684
0.1,0.0,0.0,7,-0.02692602243721945
10.0,0.3,0.3,8,-0.0058667193390453815
10.0,0.5,0.5,8,-0.005527896763735274
10.0,0.6,0.6,8,-0.005358502898300088
10.0,0.6,-0.6,8,-0.0062350475273199035
10.0,-0.6,-0.6,8,-0.007392001503285603
10.0,0.95,0.95,8,-0.004765715350038974
10.0,0.95,-0.95,8,-0.006153189818392232
10.0,-0.95,-0.95,8,-0.00798542637159011
10.0,1.0,1.0,8,-0.004681042920258921
10.0,1.0,-1.0,8,-0.006141484142486275
10.0,-1.0,-1.0,8,-0.008070213343034732
5.0,0.3,0.3,8,-0.01662396933571121
5.0,0.5,0.5,8,-0.014471616324997785
5.0,0.6,0.6,8,-0.013393932262909788
5.0,0.6,-0.6,8,-0.01930592673999848
5.0,-0.6,-0.6,8,-0.026273768957552443
5.0,0.95,0.95,8,-0.009612906786647085
